paper_id,doi,title,year,venue,status,article_type_family,article_type_predicted_family,article_type_confidence,article_type_runner_up,article_type_margin,article_type_signals,article_type_diagnostics,type_review_flags,processed_at
doi:10.1016/j.landurbplan.2012.12.013,10.1016/j.landurbplan.2012.12.013,,,,completed_pdf_extracted,unknown,empirical_v2,0.5455,observational_field,1.5000,section:results,downgraded_to_unknown_low_confidence,classifier_flagged|low_confidence,2026-02-17T08:02:45.817941+00:00
doi:10.1068/b4225,10.1068/b4225,,,,completed_pdf_no_claims,unknown,narrative_review,0.4545,empirical_v2,0.5000,title_pattern:(?<!systematic\s)review(?!\s+of\s+the\s+literature),downgraded_to_unknown_low_confidence,classifier_flagged|low_confidence,2026-02-17T08:02:45.817941+00:00
doi:10.1068/p5292,10.1068/p5292,,,,completed_pdf_extracted,unknown,unknown,0.0000,theoretical,0.0000,,downgraded_to_unknown_low_confidence,classifier_flagged|low_confidence|low_margin,2026-02-17T08:02:45.817941+00:00
doi:10.1093/jurban_jtg063,10.1093/jurban_jtg063,,,,completed_pdf_extracted,unknown,unknown,0.0000,theoretical,0.0000,,downgraded_to_unknown_low_confidence,classifier_flagged|low_confidence|low_margin,2026-02-17T08:02:45.817941+00:00
doi:10.1111/j.2044-8295.1979.tb01680.x,10.1111/j.2044-8295.1979.tb01680.x,,,,completed_pdf_no_claims,unknown,empirical_v2,0.5455,observational_field,1.5000,section:results,downgraded_to_unknown_low_confidence,classifier_flagged|low_confidence,2026-02-17T08:02:45.817941+00:00
doi:10.1177/001391657684003,10.1177/001391657684003,,,,completed_pdf_no_claims,unknown,empirical_v2,0.5455,observational_field,1.5000,section:results,downgraded_to_unknown_low_confidence,classifier_flagged|low_confidence,2026-02-17T08:02:45.817941+00:00
doi:10.1177/0013916581132004,10.1177/0013916581132004,,,,completed_pdf_no_claims,unknown,observational_field,0.4545,empirical_v2,0.5000,title_pattern:post[-\s]?occupancy\s+evaluation,downgraded_to_unknown_low_confidence,classifier_flagged|low_confidence,2026-02-17T08:02:45.817941+00:00
doi:10.1177/0013916587191001,10.1177/0013916587191001,,,,completed_pdf_no_claims,thought_piece,thought_piece,0.5636,theoretical,0.8000,title_pattern:perspective,,low_confidence,2026-02-17T08:02:45.817941+00:00
doi:10.1177/0013916589215001,10.1177/0013916589215001,,,,completed_pdf_no_claims,unknown,empirical_v2,0.5455,observational_field,1.5000,section:results,downgraded_to_unknown_low_confidence,classifier_flagged|low_confidence,2026-02-17T08:02:45.817941+00:00
doi:10.1177/0013916590225001,10.1177/0013916590225001,,,,completed_pdf_no_claims,unknown,empirical_v2,0.5455,observational_field,1.5000,section:results,downgraded_to_unknown_low_confidence,classifier_flagged|low_confidence,2026-02-17T08:02:45.817941+00:00
doi:10.1177/0013916591231003,10.1177/0013916591231003,,,,completed_pdf_no_claims,unknown,observational_field,0.4545,empirical_v2,0.5000,title_pattern:field\s+study,downgraded_to_unknown_low_confidence,classifier_flagged|low_confidence,2026-02-17T08:02:45.817941+00:00
doi:10.1177/001391659803000408,10.1177/001391659803000408,,,,completed_pdf_no_claims,unknown,empirical_v2,0.5455,observational_field,1.5000,section:results,downgraded_to_unknown_low_confidence,classifier_flagged|low_confidence,2026-02-17T08:02:45.817941+00:00
doi:10.1177/0022022117698039,10.1177/0022022117698039,,,,completed_pdf_no_claims,unknown,empirical_v2,0.5455,observational_field,1.5000,section:results,downgraded_to_unknown_low_confidence,classifier_flagged|low_confidence,2026-02-17T08:02:45.817941+00:00
doi:10.15388/20-infor419,10.15388/20-infor419,,,,completed_pdf_extracted,unknown,empirical_v2,0.2182,observational_field,0.2000,default_empirical_from_structural_core,downgraded_to_unknown_low_confidence,classifier_flagged|low_confidence|low_margin,2026-02-17T08:02:45.817941+00:00
zotero:IM8R9VRM,,,,,completed_pdf_no_claims,unknown,unknown,0.0000,theoretical,0.0000,,downgraded_to_unknown_low_confidence,classifier_flagged|low_confidence|low_margin,2026-02-17T08:02:45.817941+00:00
