paper_id,doi,title,year,venue,pdf_path,status,queued_at,processed_at,reason,source,resolved_pdf_path,n_tables,n_claims,error,article_type_classifier_version,article_type_confidence,article_type_diagnostics,article_type_family,article_type_margin,article_type_needs_review,article_type_predicted_family,article_type_runner_up,article_type_signals,preprocess_cache_path,preprocess_checked_at,preprocess_cid_density,preprocess_cid_hits,preprocess_error,preprocess_nonempty_pages,preprocess_page_count,preprocess_status,preprocess_text_chars,preprocess_warning_flags,prior_n_claims,prior_n_tables,prior_status,retry_error,retry_status
doi:10.1002/cne.920180503,10.1002/cne.920180503,The relation of strength of stimulus to rapidity of habit‐formation,1908,Journal of Comparative Neurology and Psychology,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1002_cne.920180503.pdf,completed_pdf_extracted,2026-02-16T18:00:14.639045+00:00,2026-02-16T18:06:33.970206+00:00,table_remake_required,backfill_pdf_completion_queue,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1002_cne.920180503.pdf,26,227,,paper_classifier_v2,0.0,downgraded_to_unknown_low_confidence,unknown,0.0,True,unknown,theoretical,,data/production/pdf_preprocess_cache/doi:10.1002/cne.920180503.json,2026-02-16T13:53:53.497752+00:00,0.00000000,0,,24,24,ready,48154,,,,,,
doi:10.1002/hbm.24616,10.1002/hbm.24616,The neural correlates of the awe experience: Reduced default mode network activity during feelings of awe,2019,,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1002_hbm.24616.pdf,completed_pdf_extracted,2026-02-16T18:00:14.639045+00:00,2026-02-16T18:06:33.970206+00:00,table_remake_required,run_realtime_table_rule_intake,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1002_hbm.24616.pdf,3,3,,paper_classifier_v2,0.4545,downgraded_to_unknown_low_confidence,unknown,0.5,True,thought_piece,empirical_v2,title_pattern:perspective,,,,,,,,,,,,,,,
doi:10.1002/joc.2120,10.1002/joc.2120,Effect of thermal adaptation on seasonal outdoor thermal comfort,2011,,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1002_joc.2120.pdf,completed_pdf_extracted,2026-02-16T18:00:14.639045+00:00,2026-02-16T18:06:41.321389+00:00,table_remake_required,run_realtime_table_rule_intake,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1002_joc.2120.pdf,9,13,,paper_classifier_v2,0.5455,downgraded_to_unknown_low_confidence,unknown,1.5,True,empirical_v2,observational_field,section:results,,,,,,,,,,,,,,,
doi:10.1006/jevp.1996.0015,10.1006/jevp.1996.0015,METHODOLOGICAL CONVERGENCE IN COGNITIVE MAPPING RESEARCH: INVESTIGATING CONFIGURATIONAL KNOWLEDGE,1996,,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1006_jevp.1996.0015.pdf,completed_pdf_extracted,2026-02-16T18:00:14.639045+00:00,2026-02-16T18:06:41.321389+00:00,table_remake_required,backfill_pdf_completion_queue,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1006_jevp.1996.0015.pdf,11,16,,paper_classifier_v2,0.0,downgraded_to_unknown_low_confidence,unknown,0.0,True,unknown,theoretical,,data/production/pdf_preprocess_cache/doi:10.1006/jevp.1996.0015.json,2026-02-16T13:53:53.497752+00:00,0.00022687,19,,23,23,ready,83749,,,,,,
doi:10.1006/jevp.1996.0032,10.1006/jevp.1996.0032,"BOOK REVIEWS - The Trouble with Computers: Usefulness, Usability and Productivity",1996,,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1006_jevp.1996.0032.pdf,completed_pdf_extracted,2026-02-16T18:00:14.639045+00:00,2026-02-16T18:06:52.728279+00:00,table_remake_required,backfill_pdf_completion_queue,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1006_jevp.1996.0032.pdf,5,4,,paper_classifier_v2,0.8545,,narrative_review,2.2,False,narrative_review,theoretical,title_pattern:(?<!systematic\s)review(?!\s+of\s+the\s+literature),data/production/pdf_preprocess_cache/doi:10.1006/jevp.1996.0032.json,2026-02-16T13:53:53.497752+00:00,0.00000000,0,,25,25,ready,81355,,,,,,
doi:10.1006/jevp.1999.0169,10.1006/jevp.1999.0169,"EXERCISED CONTROL, LIGHTING CHOICES, AND ENERGY USE: AN OFFICE SIMULATION EXPERIMENT",2000,Journal of Environmental Psychology,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1006_jevp.1999.0169.pdf,completed_pdf_extracted,2026-02-16T18:00:14.639045+00:00,2026-02-16T18:06:52.728279+00:00,table_remake_required,backfill_pdf_completion_queue,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1006_jevp.1999.0169.pdf,12,137,,paper_classifier_v2,0.0,downgraded_to_unknown_low_confidence,unknown,0.0,True,unknown,theoretical,,data/production/pdf_preprocess_cache/doi:10.1006/jevp.1999.0169.json,2026-02-16T13:53:53.497752+00:00,0.00000000,0,,25,25,ready,73588,,,,,,
doi:10.1006/jsvi.2001.4166,10.1006/jsvi.2001.4166,AFFECTIVE EVALUATIONS OF AND REACTIONS TO EXTERIOR AND INTERIOR VEHICLE AUDITORY QUALITY,2002,,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1006_jsvi.2001.4166.pdf,completed_pdf_extracted,2026-02-16T18:00:14.639045+00:00,2026-02-16T18:07:25.559640+00:00,table_remake_required,backfill_pdf_completion_queue,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1006_jsvi.2001.4166.pdf,1,8,,paper_classifier_v2,0.0,downgraded_to_unknown_low_confidence,unknown,0.0,True,unknown,theoretical,,data/production/pdf_preprocess_cache/doi:10.1006/jsvi.2001.4166.json,2026-02-16T13:53:53.497752+00:00,0.00119876,56,,18,18,ready,46715,,,,,,
doi:10.1007/11853565_19,10.1007/11853565_19,Instrumenting the City: Developing Methods for Observing and Understanding the Digital Cityscape,2006,,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1007_11853565_19.pdf,completed_pdf_extracted,2026-02-16T18:00:14.639045+00:00,2026-02-16T18:07:25.559640+00:00,table_remake_required,run_realtime_table_rule_intake,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1007_11853565_19.pdf,4,972,,paper_classifier_v2,0.5455,downgraded_to_unknown_low_confidence,unknown,1.5,True,empirical_v2,observational_field,section:results,data/production/pdf_preprocess_cache/doi:10.1007/11853565_19.json,2026-02-14T10:17:37.772176+00:00,0.00000000,0,,25,25,ready,39190,,949,5,completed_pdf_extracted,timeout_after_75s,error_pdf_timeout
doi:10.1007/3-540-48384-5_25,10.1007/3-540-48384-5_25,A Formal Model of the Process of Wayfinding in Built Environments,1999,,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1007_3-540-48384-5_25.pdf,completed_pdf_extracted,2026-02-16T18:00:14.639045+00:00,2026-02-16T18:07:35.815903+00:00,table_remake_required,run_realtime_table_rule_intake,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1007_3-540-48384-5_25.pdf,4,136,,paper_classifier_v2,0.5455,downgraded_to_unknown_low_confidence,unknown,1.5,True,empirical_v2,observational_field,section:results,,,,,,,,,,,97,0,completed_pdf_extracted,timeout_after_75s,error_pdf_timeout
doi:10.1007/978-3-031-41148-9_12,10.1007/978-3-031-41148-9_12,Emotional Response to Different Lighting Conditions,2024,,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1007_978-3-031-41148-9_12.pdf,completed_pdf_extracted,2026-02-16T18:00:14.639045+00:00,2026-02-16T18:07:35.815903+00:00,table_remake_required,run_realtime_table_rule_intake,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1007_978-3-031-41148-9_12.pdf,5,92,,paper_classifier_v2,0.2182,downgraded_to_unknown_low_confidence,unknown,0.2,True,empirical_v2,observational_field,default_empirical_from_structural_core,,,,,,,,,,,,,,,
