paper_id,status,prior_status,n_tables,n_claims,preprocess_status,pdf_path,processed_at,error,reason
doi:10.3389/frsc.2021.690055,completed_pdf_extracted,error_pdf_timeout,12,205,ready,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.3389_frsc.2021.690055.pdf,2026-02-15T00:50:47.328360+00:00,,full_historical_retag_backfill|article_type_priority_tranche_reprocess|timeout_recovery_pipeline|timeout_recovery_pipeline
doi:10.1016/j.asej.2022.101810,completed_pdf_extracted,error_pdf_timeout,4,147,ready,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1016_j.asej.2022.101810.pdf,2026-02-15T00:50:47.328360+00:00,,full_historical_retag_backfill|article_type_priority_tranche_reprocess|timeout_recovery_pipeline|timeout_recovery_pipeline
doi:10.3390/ijerph110202108,completed_pdf_extracted,error_pdf_timeout,11,93,ready,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.3390_ijerph110202108.pdf,2026-02-15T00:50:47.328360+00:00,,full_historical_retag_backfill|article_type_priority_tranche_reprocess|timeout_recovery_pipeline|timeout_recovery_pipeline
doi:10.3390/su12051830,completed_pdf_extracted,error_pdf_timeout,10,88,ready,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.3390_su12051830.pdf,2026-02-15T00:50:47.328360+00:00,,full_historical_retag_backfill|article_type_priority_tranche_reprocess|timeout_recovery_pipeline|timeout_recovery_pipeline
doi:10.3390/su12104263,completed_pdf_extracted,error_pdf_timeout,2,175,ready,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.3390_su12104263.pdf,2026-02-15T00:50:47.328360+00:00,,full_historical_retag_backfill|article_type_priority_tranche_reprocess|timeout_recovery_pipeline|timeout_recovery_pipeline
doi:10.25916/sut.26402764.v1,completed_pdf_extracted,error_pdf_timeout,41,1358,ready,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.25916_sut.26402764.v1.pdf,2026-02-15T00:50:47.328360+00:00,,full_historical_retag_backfill|article_type_priority_tranche_reprocess|timeout_recovery_pipeline|timeout_recovery_pipeline
doi:10.24002/jarina.v3i2.9119,completed_pdf_extracted,error_pdf_timeout,0,173,,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.24002_jarina.v3i2.9119.pdf,2026-02-15T00:50:47.328360+00:00,,full_historical_retag_backfill|article_type_priority_tranche_reprocess|timeout_recovery_pipeline
doi:10.18419/opus-9385,completed_pdf_extracted,error_pdf_timeout,331,659,ready,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.18419_opus-9385.pdf,2026-02-15T00:50:47.328360+00:00,,full_historical_retag_backfill|article_type_priority_tranche_reprocess|timeout_recovery_pipeline|timeout_recovery_pipeline
doi:10.3390/su152216104,completed_pdf_extracted,error_pdf_timeout,8,107,ready,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.3390_su152216104.pdf,2026-02-15T00:50:47.328360+00:00,,full_historical_retag_backfill|article_type_priority_tranche_reprocess|timeout_recovery_pipeline|timeout_recovery_pipeline
doi:10.1177/1477153517750714,completed_pdf_extracted,error_pdf_timeout,25,119,ready,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1177_1477153517750714.pdf,2026-02-15T00:50:47.328360+00:00,,full_historical_retag_backfill|article_type_priority_tranche_reprocess|timeout_recovery_pipeline|timeout_recovery_pipeline
zotero:F4X7UZLU,completed_pdf_extracted,error_pdf_timeout,46,419,ready,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/Human_Centric_School_Lighting.pdf,2026-02-15T00:50:47.328360+00:00,,full_historical_retag_backfill|article_type_priority_tranche_reprocess|timeout_recovery_pipeline|timeout_recovery_pipeline
doi:10.1080/00038628.2018.1523129,completed_pdf_extracted,error_pdf_timeout,4,309,ready,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1080_00038628.2018.1523129.pdf,2026-02-15T00:50:47.328360+00:00,,full_historical_retag_backfill|article_type_priority_tranche_reprocess|timeout_recovery_pipeline|timeout_recovery_pipeline
doi:10.1080/01441647.2012.712555,completed_pdf_extracted,error_pdf_timeout,14,316,ready,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1080_01441647.2012.712555.pdf,2026-02-15T00:50:47.328360+00:00,,full_historical_retag_backfill|article_type_priority_tranche_reprocess|timeout_recovery_pipeline|timeout_recovery_pipeline
doi:10.56261/jars.v22.269283,completed_pdf_extracted,error_pdf_timeout,2,205,ready,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.56261_jars.v22.269283.pdf,2026-02-15T00:50:47.328360+00:00,,full_historical_retag_backfill|article_type_priority_tranche_reprocess|timeout_recovery_pipeline|timeout_recovery_pipeline
