paper_id,doi,title,year,venue,pdf_path,resolved_pdf_path,status,processed_at,reason,needs_deep_theory_review
doi:10.1177/0013916590225001,10.1177/0013916590225001,Finding the Building in Wayfinding,1990,Environment and Behavior,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1177_0013916590225001.pdf,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1177_0013916590225001.pdf,completed_pdf_no_claims,2026-02-14T23:39:43.531328+00:00,likely_non_tabular_or_table_unreadable,yes
doi:10.1016/j.envint.2019.105427,10.1016/j.envint.2019.105427,Effects of biophilic indoor environment on stress and anxiety recovery: A between-subjects experiment in virtual reality,2019,Environment International,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1016_j.envint.2019.105427.pdf,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1016_j.envint.2019.105427.pdf,completed_pdf_no_claims,2026-02-14T11:05:40.470374+00:00,likely_non_tabular_or_table_unreadable,yes
doi:10.1038/s41598-021-85210-9,10.1038/s41598-021-85210-9,Exploring a sustainable building’s impact on occupant mental health and cognitive function in a virtual environment,2021,Scientific Reports,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1038_s41598-021-85210-9.pdf,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1038_s41598-021-85210-9.pdf,completed_pdf_no_claims,2026-02-14T11:05:40.470374+00:00,likely_non_tabular_or_table_unreadable,yes
doi:10.3390/SU13020823,10.3390/SU13020823,The Potential of Biophilic Fractal Designs to Promote Health and Performance: A Review of Experiments and Applications,2021,Sustainability,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.3390_SU13020823.pdf,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.3390_SU13020823.pdf,completed_pdf_no_claims,2026-02-14T11:05:40.470374+00:00,likely_synthesis_non_tabular,yes
doi:10.3389/fnhum.2011.00060,10.3389/fnhum.2011.00060,Perceptual and Physiological Responses to Jackson Pollock's Fractals,2011,Frontiers in Human Neuroscience,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.3389_fnhum.2011.00060.pdf,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.3389_fnhum.2011.00060.pdf,completed_pdf_no_claims,2026-02-14T11:05:40.470374+00:00,likely_non_tabular_or_table_unreadable,yes
doi:10.1371/journal.pone.0016429,10.1371/journal.pone.0016429,"Non-Visual Effects of Light on Melatonin, Alertness and Cognitive Performance: Can Blue-Enriched Light Keep Us Alert?",2011,PLoS ONE,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1371_journal.pone.0016429.pdf,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1371_journal.pone.0016429.pdf,completed_pdf_no_claims,2026-02-14T23:43:35.598771+00:00,likely_non_tabular_or_table_unreadable,yes
doi:10.1080/00994480.2002.10748396,10.1080/00994480.2002.10748396,Daylighting Impacts on Human Performance in School,2002,Journal of the Illuminating Engineering Society,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1080_00994480.2002.10748396.pdf,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1080_00994480.2002.10748396.pdf,completed_pdf_no_claims,2026-02-14T11:05:40.470374+00:00,likely_non_tabular_or_table_unreadable,yes
doi:10.1177/1477153514531518,10.1177/1477153514531518,"Effects of realistic office daylighting and electric lighting conditions on visual comfort, alertness and mood",2014,Lighting Research & Technology,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1177_1477153514531518.pdf,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1177_1477153514531518.pdf,completed_pdf_no_claims,2026-02-14T11:05:40.470374+00:00,likely_non_tabular_or_table_unreadable,yes
doi:10.1111/1467-9280.00483,10.1111/1467-9280.00483,A Prospective Study of Some Effects of Aircraft Noise on Cognitive Performance in Schoolchildren,2002,Psychological Science,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1111_1467-9280.00483.pdf,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1111_1467-9280.00483.pdf,completed_pdf_no_claims,2026-02-14T11:05:40.470374+00:00,likely_non_tabular_or_table_unreadable,yes
doi:10.1007/s12199-009-0091-z,10.1007/s12199-009-0091-z,Trends in research related to “Shinrin-yoku” (taking in the forest atmosphere or forest bathing) in Japan,2009,Environmental Health and Preventive Medicine,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1007_s12199-009-0091-z.pdf,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1007_s12199-009-0091-z.pdf,completed_pdf_no_claims,2026-02-14T23:45:16.929646+00:00,likely_non_tabular_or_table_unreadable,yes
doi:10.1006/cogp.1998.0681,10.1006/cogp.1998.0681,Contextual Cueing: Implicit Learning and Memory of Visual Context Guides Spatial Attention,1998,Cognitive Psychology,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1006_cogp.1998.0681.pdf,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1006_cogp.1998.0681.pdf,completed_pdf_no_claims,2026-02-14T23:45:21.299182+00:00,likely_non_tabular_or_table_unreadable,yes
doi:10.1068/b4225,10.1068/b4225,The Space of Innovation: Interaction and Communication in the Work Environment,1999,Environment and Planning B Planning and Design,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1068_b4225.pdf,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1068_b4225.pdf,completed_pdf_no_claims,2026-02-14T23:45:21.505571+00:00,likely_non_tabular_or_table_unreadable,yes
doi:10.1016/j.jenvp.2014.11.006,10.1016/j.jenvp.2014.11.006,Architectural design and the brain: Effects of ceiling height and perceived enclosure on beauty judgments and approach-avoidance decisions,2014,Journal of Environmental Psychology,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1016_j.jenvp.2014.11.006.pdf,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1016_j.jenvp.2014.11.006.pdf,completed_pdf_no_claims,2026-02-14T11:05:40.470374+00:00,likely_non_tabular_or_table_unreadable,yes
doi:10.1093/scan/nsw154,10.1093/scan/nsw154,The theory of constructed emotion: an active inference account of interoception and categorization,2016,Social Cognitive and Affective Neuroscience,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1093_scan_nsw154.pdf,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1093_scan_nsw154.pdf,completed_pdf_no_claims,2026-02-14T11:05:40.470374+00:00,likely_deep_theory_or_conceptual,yes
doi:10.1016/j.brainresrev.2005.07.002,10.1016/j.brainresrev.2005.07.002,A model of phototransduction by the human circadian system,2005,,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1016_j.brainresrev.2005.07.002.pdf,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1016_j.brainresrev.2005.07.002.pdf,completed_pdf_no_claims,2026-02-14T11:05:40.470374+00:00,likely_deep_theory_or_conceptual,yes
doi:10.1016/0142-694x(96)00001-4,10.1016/0142-694x(96)00001-4,"Wayfinding design: logic, application and some thoughts on universality",1996,,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1016_0142-694x(96)00001-4.pdf,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1016_0142-694x(96)00001-4.pdf,completed_pdf_no_claims,2026-02-14T11:05:40.470374+00:00,likely_non_tabular_or_table_unreadable,yes
doi:10.1177/0013916591231003,10.1177/0013916591231003,Spatial Orientation and the Angularity of Urban Routes: A Field Study,1991,,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1177_0013916591231003.pdf,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1177_0013916591231003.pdf,completed_pdf_no_claims,2026-02-14T11:05:40.470374+00:00,likely_non_tabular_or_table_unreadable,yes
doi:10.1177/1477153520958448,10.1177/1477153520958448,"Human-centric lighting: Myth, magic or metaphor?",2021,,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1177_1477153520958448.pdf,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1177_1477153520958448.pdf,completed_pdf_no_claims,2026-02-14T11:05:40.470374+00:00,likely_non_tabular_or_table_unreadable,yes
doi:10.1177/001391659803000408,10.1177/001391659803000408,Effects of Office Lighting on Mood and Cognitive Performance And A Gender Effect in Work-xRelated Judgment,1998,,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1177_001391659803000408.pdf,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1177_001391659803000408.pdf,completed_pdf_no_claims,2026-02-14T23:47:58.552954+00:00,likely_non_tabular_or_table_unreadable,yes
doi:10.1177/1477153516682368,10.1177/1477153516682368,Light as a circadian stimulus for architectural lighting,2018,,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1177_1477153516682368.pdf,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1177_1477153516682368.pdf,completed_pdf_no_claims,2026-02-14T11:05:40.470374+00:00,likely_non_tabular_or_table_unreadable,yes
doi:10.1121/1.3493436,10.1121/1.3493436,A principal components model of soundscape perceptiona),2010,,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1121_1.3493436.pdf,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1121_1.3493436.pdf,completed_pdf_no_claims,2026-02-14T11:05:40.470374+00:00,likely_deep_theory_or_conceptual,yes
doi:10.1121/1.414863,10.1121/1.414863,Sources and effects of low‐frequency noise,1996,,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1121_1.414863.pdf,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1121_1.414863.pdf,completed_pdf_no_claims,2026-02-14T11:05:40.470374+00:00,likely_non_tabular_or_table_unreadable,yes
doi:10.1007/978-3-031-22779-0_2,10.1007/978-3-031-22779-0_2,Soundscape: A Construct of Human Perception,2023,,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1007_978-3-031-22779-0_2.pdf,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1007_978-3-031-22779-0_2.pdf,completed_pdf_no_claims,2026-02-14T11:05:40.470374+00:00,likely_non_tabular_or_table_unreadable,yes
doi:10.1121/1.3298437,10.1121/1.3298437,Perceptual assessment of quality of urban soundscapes with combined noise sources and water sounds,2010,,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1121_1.3298437.pdf,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1121_1.3298437.pdf,completed_pdf_no_claims,2026-02-14T11:05:40.470374+00:00,likely_non_tabular_or_table_unreadable,yes
doi:10.1061/jaeied.aeeng-1533,10.1061/jaeied.aeeng-1533,Crossed Effect of Acoustics on Thermal Comfort and Productivity in Workplaces: A Case Study in Virtual Reality,2023,,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1061_jaeied.aeeng-1533.pdf,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1061_jaeied.aeeng-1533.pdf,completed_pdf_no_claims,2026-02-14T11:20:05.453993+00:00,likely_non_tabular_or_table_unreadable,yes
doi:10.1177/0013916591235002,10.1177/0013916591235002,Effects of Signage and Floor Plan Configuration on Wayfinding Accuracy,1991,,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1177_0013916591235002.pdf,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1177_0013916591235002.pdf,completed_pdf_no_claims,2026-02-14T11:20:05.453993+00:00,likely_non_tabular_or_table_unreadable,yes
doi:10.1177/0013916581132004,10.1177/0013916581132004,Evaluating Architectural Legibility: Way-Finding in the Built Environment,1981,,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1177_0013916581132004.pdf,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1177_0013916581132004.pdf,completed_pdf_no_claims,2026-02-14T11:20:05.453993+00:00,likely_non_tabular_or_table_unreadable,yes
doi:10.3390/buildings13020483,10.3390/buildings13020483,The Effect of Sustainable and Natural Looking on Perceived Aesthetics and Eco-Friendliness in Building Material Evaluation,2023,,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.3390_buildings13020483.pdf,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.3390_buildings13020483.pdf,completed_pdf_no_claims,2026-02-14T11:20:05.453993+00:00,likely_non_tabular_or_table_unreadable,yes
doi:10.1177/0143624419896250,10.1177/0143624419896250,Lit environments that promote health and well-being,2020,,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1177_0143624419896250.pdf,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1177_0143624419896250.pdf,completed_pdf_no_claims,2026-02-14T11:20:05.453993+00:00,likely_non_tabular_or_table_unreadable,yes
