paper_id,doi,title,year,venue,topic_bucket,citation_count,environment_variable,outcome_variable,effect_direction,sample_n,confidence_tier,evidence_level,notes,abstract_snippet,pdf_available,article_type,template_family
doi:10.1186/s40359-023-01317-w,10.1186/s40359-023-01317-w,Effects of open and closed skill exercise interventions on executive function in typical children: a meta-analysis,2023,BMC Psychology,cognition,0,unspecified_environment,cognition,positive,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,Background The effects of open and closed skill exercise interventions for executive function in children and adolescents have received widespread attention. Open skill refers to the skill of performing motor tasks in an unpredictable environment; closed skill refers to the skill of performing motor tasks in a stabl...,no,meta_analysis,meta_analysis
doi:10.3389/fpsyg.2024.1454447,10.3389/fpsyg.2024.1454447,Effects of cognitively engaging physical activity interventions on executive function in children and adolescents: a systematic review and meta-analysis,2024,Frontiers in Psychology,cognition,0,unspecified_environment,cognition,positive,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"Background This systematic review and meta-analysis aim to evaluate the effects of cognitively engaging Physical Activity (PA) interventions on Executive Function (EF) in children and adolescents. It examines how different intervention modalities, durations, frequencies, and session lengths influence these effects. ...",no,meta_analysis,meta_analysis
doi:10.3389/fpsyt.2024.1440123,10.3389/fpsyt.2024.1440123,Effects of different exercise interventions on executive function in children with autism spectrum disorder: a network meta-analysis,2024,Frontiers in Psychiatry,cognition,0,unspecified_environment,cognition,null,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"Background A large body of research has identified the positive effects of physical activity on children with autism spectrum disorders (ASD). However, the specific benefits of different types of sports on executive functioning in children with ASD remain unclear. The aim of this study was to further analyze the eff...",no,meta_analysis,meta_analysis
doi:10.1371/journal.pone.0289732,10.1371/journal.pone.0289732,Meta-analysis of the effects of physical activity on executive function in children and adolescents with attention deficit hyperactivity disorder,2023,PLoS ONE,cognition,0,unspecified_environment,cognition,positive,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,Background Executive function is a core deficit in children with attention deficit hyperactivity disorder (ADHD). This study systematically reviewed the evidence for the effects of physical activity (PA) interventions on executive function in children and adolescents with ADHD and explored the moderating effects of ...,no,meta_analysis,meta_analysis
doi:10.3390/ijerph192215270,10.3390/ijerph192215270,Effects of Physical Exercise on Executive Function in Adults with Depression: A Systematic Review and Meta-Analysis,2022,International Journal of Environmental Research and Public Health,cognition,0,unspecified_environment,cognition,mixed,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"Executive function is among the most affected cognitive dimensions in depression. Physical exercise may improve executive function (e.g., working memory, inhibition, cognitive flexibility), although this is without consensus on adults with depression. Through this systematic review, we aim to elucidate the effects o...",no,meta_analysis,meta_analysis
doi:10.1038/s41598-025-22934-y,10.1038/s41598-025-22934-y,Understanding the effects of timber rich workplaces on occupants perceived productivity and health: a pilot study.,2025,Scientific reports,biophilic,0,biophilia,stress,mixed,23,medium,abstract_only_reduced_table,abstract_only;n=23,"Leveraging the inherent connection people have with nature through the implementation of biophilic design principles is not new. Research has documented how the incorporation of natural finishings (including timber), daylight and greenery can boost workers' creativity, productivity whilst curbing stress. Despite the...",no,meta_analysis,meta_analysis
doi:10.3758/s13428-025-02620-7,10.3758/s13428-025-02620-7,Approaches to inducing mental fatigue: A systematic review and meta-analysis of (neuro)physiologic indices,2025,Behavior Research Methods,other,0,unspecified_environment,cognition,mixed,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"Mental fatigue is a transient psychophysiological state characterized by impaired cognition and behavior across a range of dynamic contexts. Despite increasing interest in this phenomenon, its (neuro)physiologic representations remain unclear. This systematic review aimed to quantify the range of (neuro)physiologic ...",no,meta_analysis,meta_analysis
doi:10.1080/02640414.2024.2317633,10.1080/02640414.2024.2317633,The counteractive effects of interventions addressing mental fatigue on sport-specific performance among athletes: A systematic review with a meta-analysis,2024,Jurnal sport science,light,0,daylight,attention,unknown,,low,abstract_only_reduced_table,abstract_only,"ABSTRACT The deleterious consequences of mental fatigue (MF) on athletes in diverse sporting domains have been subject to extensive inquiry. However, the efficacy of interventions to counteract the effects of MF remains largely elusive. This review aims to evaluate the effects of counteractive interventions on the s...",no,meta_analysis,meta_analysis
doi:10.3390/su14084792,10.3390/su14084792,A Global Assessment: Can Renewable Energy Replace Fossil Fuels by 2050?,2022,Sustainability,affect,0,unspecified_environment,productivity,mixed,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,Our study evaluated the effectiveness of using eight pathways in combination for a complete to transition from fossil fuels to renewable energy by 2050. These pathways included renewable energy development; improving energy efficiency; increasing energy conservation; carbon taxes; more equitable balancing of human w...,no,meta_analysis,meta_analysis
doi:10.1177/20503121221139150,10.1177/20503121221139150,Worldwide magnitude of inguinal hernia: Systematic review and meta-analysis of population-based studies.,2022,SAGE open medicine,other,0,unspecified_environment,unspecified_outcome,unknown,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"This review pooled the magnitude of inguinal hernia based on the available population-based studies conducted throughout the world. We have searched for population-based articles reporting the magnitude of inguinal hernia on PubMed/Medline, EMBASE, Cochrane library and Google Scholar. Random-effect meta-analysis was...",no,meta_analysis,meta_analysis
doi:10.1177/13670069231214599,10.1177/13670069231214599,"Bilingualism, like other types of brain training, does not produce far transfer: It all fits together",2024,International Journal of Bilingualism,cognition,0,unspecified_environment,cognition,positive,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,Purpose: The purpose of this review is to integrate an important new synthesis of the literature examining the effects of cognitive training on far transfer tests of cognitive ability with the expansive literature testing for bilingual advantages in executive functioning (EF). Approach: The secondary meta-analysis o...,no,meta_analysis,meta_analysis
doi:10.3390/healthcare13192415,10.3390/healthcare13192415,Effects of Physical Activity on Executive Function and Emotional Regulation in Children and Adolescents with Neurodevelopmental Disorders: A Systematic Review and Meta-Analysis,2025,Healthcare,cognition,0,unspecified_environment,cognition,positive,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"Background/Objectives: Children and adolescents with neurodevelopmental disorders (NDDs) often experience deficits in executive functioning and emotional regulation, which impact their academic, social, and behavioral development. While physical activity is increasingly recognized as a promising non-pharmacological ...",no,meta_analysis,meta_analysis
doi:10.3389/fpsyt.2017.00248,10.3389/fpsyt.2017.00248,"Economic and Health Predictors of National Postpartum Depression Prevalence: A Systematic Review, Meta-analysis, and Meta-Regression of 291 Studies from 56 Countries",2018,Frontiers in Psychiatry,other,0,unspecified_environment,unspecified_outcome,unknown,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,The global prevalence of PPD is greater than previously thought and varies dramatically by nation. Disparities in wealth inequality and maternal-child-health factors explain much of the national variation in PPD prevalence.,no,meta_analysis,meta_analysis
doi:10.1371/journal.pone.0317615,10.1371/journal.pone.0317615,Effects of cold-water immersion on health and wellbeing: A systematic review and meta-analysis.,2025,PloS one,affect,0,unspecified_environment,mood,unknown,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,Cold-water immersion (CWI) has gained popularity as a health and wellbeing intervention among the general population.,no,meta_analysis,meta_analysis
doi:10.3390/app12062988,10.3390/app12062988,Fungi Affecting Wall Paintings of Historical Value: A Worldwide Meta-Analysis of Their Detected Diversity,2022,Applied Sciences,thermal,0,thermal,attention,unknown,,low,abstract_only_reduced_table,abstract_only,"Wall paintings have been a cultural expression of human creativity throughout history. Their degradation or destruction represents a loss to the world’s cultural heritage, and fungi have been identified as a major contributor to their decay. We provide a critical review of fungi isolated from worldwide wall painting...",no,meta_analysis,meta_analysis
