paper_id,doi,title,year,venue,topic_bucket,citation_count,environment_variable,outcome_variable,effect_direction,sample_n,confidence_tier,evidence_level,notes,abstract_snippet,pdf_available,article_type,template_family
doi:10.1109/OT4ME53559.2021.9638922,10.1109/OT4ME53559.2021.9638922,Effects of Online Heutagogy Learning Environment towards Students’ Creativity in English Presentation,2021,2021 1st Conference on Online Teaching for Mobile Education (OT4ME),other,0,unspecified_environment,unspecified_outcome,unknown,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,The aim of this study is to identify the effects of heutagogy learning environment and its effectiveness towards secondary school students’ creativity in designing English for Second Language (ESL) presentation slides. There are two types of items measured; creativity in implementing multimedia elements in the slide...,no,quasi_experimental,unknown
doi:10.1051/matecconf/20166600031,10.1051/matecconf/20166600031,Office Occupants’ Mood and Preference of Task Ambient Lighting in the Tropics,2016,MATEC Web of Conferences,light,0,daylight,mood,unknown,,low,abstract_only_reduced_table,abstract_only,"Office lighting is vital for energy savings and occupant’s visual comfort being. Energy efficient lighting has been studied extensively in the aspect of daylighting harvesting and task ambient lighting, predominantly in Temperate developed countries. However, the lack of evident on the effectiveness of low ambient t...",no,quasi_experimental,unknown
doi:10.1080/23744731.2023.2210976,10.1080/23744731.2023.2210976,Associations between psychological responses under artificial light environment and sleep activity,2023,Science and Technology for the Built Environment,light,0,daylight,sleep,unknown,,low,abstract_only_reduced_table,abstract_only,"Light helps mankind synchronize the circadian rhythm, necessitating the need to create a luminous environment in a bedroom. Many studies have focused on the effect of bedroom lighting regulation on sleep. However, there was a lack of research on how psychology responses are connected to sleep in residential bedroom....",no,quasi_experimental,unknown
doi:10.26686/wgtn.17005717.v1,10.26686/wgtn.17005717.v1,Tubular Daylighting Devices and People: A comparison of the human responses to Tubular Daylighting Devices and fluorescent lighting,2013,,light,0,daylight,productivity,null,,medium,abstract_only_reduced_table,abstract_only,"Tubular Daylighting Devices are used to bring daylight into deep-plan spaces, and meet sustainability goals. However, they are expensive, and justification for their use lies in hypothesised benefits they can provide in areas such as well-being and productivity. Yet, there is very little research into the effects of...",no,quasi_experimental,unknown
doi:10.1371/journal.pone.0318238,10.1371/journal.pone.0318238,Effects of mental fatigue on isometric mid-thigh pull performance and muscle activities,2025,PLoS ONE,affect,0,unspecified_environment,cognition,null,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"This study investigated the effects of mental fatigue on rate of force development (RFD) and peak force during an isometric mid-thigh pull (IMTP), as well as its impact on muscle activation measured by electromyography (EMG) median frequency. Sixteen healthy, resistance-trained males completed two sessions: a contro...",no,quasi_experimental,unknown
doi:10.15758/ajk.2025.27.1.11,10.15758/ajk.2025.27.1.11,Effects of Mental Fatigue on Gait Performance and Variability,2025,The Asian Journal of Kinesiology (Online),biophilic,0,biophilia,cognition,null,,medium,abstract_only_reduced_table,abstract_only,"OBJECTIVES Mental fatigue has been shown to negatively impact physical performance, including motor skills and neuromuscular function. This study aimed to investigate the effects of mental fatigue on gait performance and variability in healthy young male adults.METHODS Eighteen participants walked over-ground at the...",no,quasi_experimental,methods_protocol
doi:10.1177/193758671400700405,10.1177/193758671400700405,"The Impact of Windows and Daylight on Acute-Care Nurses' Physiological, Psychological, and Behavioral Health",2014,HERD Health Environments Research & Design Journal,light,0,daylight,sleep,mixed,,medium,abstract_only_reduced_table,abstract_only,"OBJECTIVE: To investigate the physiological and psychological effects of windows and daylight on registered nurses. BACKGROUND: To date, evidence has indicated that appropriate environmental lighting with characteristics similar to natural light can improve mood, alertness, and performance. The restorative effects o...",no,quasi_experimental,empirical_v2
sha256:0f2a6f8775d0,,Atmospheric transformation of diesel emissions.,2010,PubMed,affect,0,daylight,stress,positive,,medium,abstract_only_reduced_table,abstract_only,"The hypothesis of this study was that exposing diesel exhaust (DE*) to the atmosphere transforms its composition and toxicity. Our specific aims were (1) to characterize the gas- and particle-phase products of atmospheric transformations of DE under the influence of daylight, ozone (O3), hydroxyl (OH) radicals, and ...",no,quasi_experimental,empirical_v2
doi:10.1038/s41598-025-10779-4,10.1038/s41598-025-10779-4,Application of CycleGAN-based low-light image enhancement algorithm in foreign object detection on belt conveyors in underground mines.,2025,Scientific reports,acoustic,0,daylight,attention,mixed,,medium,abstract_only_reduced_table,abstract_only,"Clear monitoring images are crucial for the safe operation of belt conveyors in coal mines. However, in underground environments, low illumination and uneven brightness can significantly degrade image quality, thereby affecting the detection of foreign objects in coal flow and reducing the reliability of safety moni...",no,quasi_experimental,empirical_v2
doi:10.3389/fpsyg.2022.1016909,10.3389/fpsyg.2022.1016909,Tracking changes in touch desire and touch avoidance before and after the COVID-19 outbreak.,2022,Frontiers in psychology,cognition,0,unspecified_environment,attention,positive,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"Touch is essential for survival, social bonding, and overall health. However, the COVID-19 pandemic calls for an abrupt withdrawal from physical contact, and the prolonged lockdown has left many people in solitude without touch for months. This unprecedented dissociation from touch has cast a shadow on people's ment...",no,quasi_experimental,unknown
doi:10.1192/bjo.2020.9,10.1192/bjo.2020.9,Long-term subjective memory after electroconvulsive therapy,2020,BJPsych Open,cognition,0,unspecified_environment,cognition,mixed,535,low,abstract_only_reduced_table,abstract_only;n=535;weak_variable_resolution,"Background There have been reports of long-term subjective memory worsening after electroconvulsive therapy (ECT). Aims To study the prevalence and risk factors of long-term subjective memory worsening among patients receiving ECT in routine clinical practice. Method Patients (n = 535, of whom 277 were included in t...",no,quasi_experimental,unknown
doi:10.1017/s0033291719002770,10.1017/s0033291719002770,"Using network analysis to examine links between individual depressive symptoms, inflammatory markers, and covariates",2019,Psychological Medicine,affect,0,unspecified_environment,stress,unknown,2321,low,abstract_only_reduced_table,abstract_only;n=2321;weak_variable_resolution,"Abstract Background Studies investigating the link between depressive symptoms and inflammation have yielded inconsistent results, which may be due to two factors. First, studies differed regarding the specific inflammatory markers studied and covariates accounted for. Second, specific depressive symptoms may be dif...",no,quasi_experimental,unknown
doi:10.1371/journal.pone.0287999,10.1371/journal.pone.0287999,The measurement of mental fatigue following an overnight on-call duty among doctors using electroencephalogram,2023,PLoS ONE,other,0,unspecified_environment,sleep,positive,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"This study aimed to measure the spectral power differences in the brain rhythms among a group of hospital doctors before and after an overnight on-call duty. Thirty-two healthy doctors who performed regular on-call duty in a tertiary hospital in Sarawak, Malaysia were voluntarily recruited into this study. All parti...",no,quasi_experimental,interview_study
doi:10.1016/j.buildenv.2021.108182,10.1016/j.buildenv.2021.108182,Indoor air quality investigation before and after relocation to WELL-certified office buildings,2021,Building and Environment,air,0,air_quality,attention,null,,medium,abstract_only_reduced_table,abstract_only,"Air pollutant exposure in workplace environments has been associated with health and cognitive outcomes of workers. While green building certification programs have been instrumental in promoting indoor air quality (IAQ), the present literature indicates inconsistent evidence. Recent emergence and proliferation of W...",no,quasi_experimental,observational_field
doi:10.1038/s41598-020-67257-2,10.1038/s41598-020-67257-2,Immunity of nanoscale magnetic tunnel junctions with perpendicular magnetic anisotropy to ionizing radiation,2020,Scientific Reports,thermal,0,thermal,cognition,unknown,,low,abstract_only_reduced_table,abstract_only,"Abstract Spin transfer torque magnetic random access memory (STT-MRAM) is a promising candidate for next generation memory as it is non-volatile, fast, and has unlimited endurance. Another important aspect of STT-MRAM is that its core component, the nanoscale magnetic tunneling junction (MTJ), is thought to be radia...",no,quasi_experimental,empirical_v2
doi:10.1016/j.jtherbio.2025.104057,10.1016/j.jtherbio.2025.104057,"Single and combined effects of environmental heat stress and physical exercise on thermoregulation, executive function, and cerebral oxygenation.",2025,Journal of thermal biology,thermal,0,thermal,stress,positive,,medium,abstract_only_reduced_table,abstract_only,"This study investigated the single and combined effects of environmental heat stress and physical exercise on executive function (EF) performance, prefrontal cortex oxygenation, thermoregulatory responses and subjective perceptions. Sixteen subjects participated in four experimental sessions: two under moderate envi...",no,quasi_experimental,empirical_v2
