paper_id,doi,title,year,venue,topic_bucket,citation_count,environment_variable,outcome_variable,effect_direction,sample_n,confidence_tier,evidence_level,notes,abstract_snippet,pdf_available,article_type,template_family
sha256:21e3d7b378d1,10.20944/preprints202111.0310.v1,"M , & Lo, A Literature Review On Semi",2021,,air,0,air_quality,stress,unknown,,low,abstract_only_reduced_table,abstract_only,"<jats:p>Background: In the functional data analysis (FDA), the hybrid or mixed data are scalar and functional datasets. The semi-functional partial linear regression model (SFPLR) is one of the first semiparametric models for the scalar response with hybrid covariates. Various extensions of this model are explored a...",yes,systematic_review,systematic_review
doi:10.60099/prijnr.2026.275709,10.60099/prijnr.2026.275709,Effects of Executive Function-Specif ic Activity Program on Parenting Practices and Executive Functions among Preschool Children: A Quasi-Experimental Study,2025,Pacific Rim international journal of nursing research,cognition,0,unspecified_environment,cognition,positive,24,low,abstract_only_reduced_table,abstract_only;n=24;weak_variable_resolution,"Executive function is an essential foundation for learning, academic achievement, and social relationships. The preschool years are the optimal period for executive function development through parenting practices at home. However, few programs are available to enhance parenting practices in organizing activities ta...",no,systematic_review,systematic_review
doi:10.3390/life13101968,10.3390/life13101968,The Influence of Light Wavelength on Human HPA Axis Rhythms: A Systematic Review.,2023,"Life (Basel, Switzerland)",light,0,daylight,sleep,positive,,medium,abstract_only_reduced_table,abstract_only,"Environmental light entrains many physiological and behavioural processes to the 24 h solar cycle. Such light-driven circadian rhythms are centrally controlled by the suprachiasmatic nucleus (SCN), which receives information from the short-wavelength-sensitive intrinsically photosensitive retinal ganglion cells. The...",no,systematic_review,systematic_review
doi:10.3389/fphys.2025.1700518,10.3389/fphys.2025.1700518,"Health effects of plants, light, and natural elements of biophilic interventions in confined settings: a systematic review.",2025,Frontiers in physiology,biophilic,0,biophilia,stress,mixed,,medium,abstract_only_reduced_table,abstract_only,"Biophilic intervention strategies that incorporate plants, light, and organic elements are increasingly recognized for supporting well-being in confined environments. This systematic review analyzes health outcomes associated with edible greens and biophilic elements across 124 studies drawn from PubMed and Scopus, ...",no,systematic_review,systematic_review
doi:10.1002/14651858.CD016157,10.1002/14651858.CD016157,"Ocular light exposure interventions for sleep, circadian rhythms, rest-activity cycles, mood, and cognitive function in older adults: An Overview of Cochrane and non-Cochrane Systematic Reviews.",2025,The Cochrane database of systematic reviews,light,0,unspecified_environment,sleep,unknown,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"This is a protocol for a Cochrane Review (overview). The objectives are as follows: To summarise the evidence on the effects of ocular light exposure interventions on sleep, circadian rhythms, rest-activity cycles, mood, and cognitive function in older adults. To outline opportunities and challenges for developing e...",no,systematic_review,systematic_review
doi:10.3389/fpsyg.2022.968144,10.3389/fpsyg.2022.968144,Effects of music training in executive function performance in children: A systematic review,2022,Frontiers in Psychology,cognition,0,unspecified_environment,cognition,positive,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"Music training has traditionally been a fundamental component of children's education across several cultures. Moreover, music training has been hypothesized to enhance the development of executive functions and improve executive performance in children. In this systematic review, we analyze the available evidence o...",no,systematic_review,systematic_review
doi:10.3390/ejihpe12010006,10.3390/ejihpe12010006,"Effects of Physical Activity, Exercise and Sport on Executive Function in Young People with Attention Deficit Hyperactivity Disorder: A Systematic Review",2022,"European Journal of Investigation in Health, Psychology and Education",cognition,0,unspecified_environment,mood,mixed,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"Attention deficit hyperactivity disorder (ADHD) is a neurodevelopmental disorder that negatively affects the inattention, disorganization, and/or hyperactivity–impulsivity in children and adolescents who suffer from it, included cases being reported that continue into adulthood. This disorder impairs social, academi...",no,systematic_review,systematic_review
doi:10.1088/1755-1315/1099/1/012053,10.1088/1755-1315/1099/1/012053,Effects of indoor lighting conditions and window views on occupants’ well-being and behavior: a systematic review.,2022,IOP Conference Series: Earth and Environment,light,0,daylight,mood,null,,medium,abstract_only_reduced_table,abstract_only,"This paper reviews 49 studies that addressed how window view, daylighting, and lighting in buildings affect occupants’ behavior and well-being. The systematic literature search was performed in November 2021 and focused on office and educational buildings. We quantified the number of papers per study type, study aim...",no,systematic_review,systematic_review
doi:10.1155/2024/9614163,10.1155/2024/9614163,Mental Fatigue in Parkinson's Disease: Systematic Review and Evaluation of Self-Reported Fatigue Scales,2024,Parkinson's Disease,biophilic,0,biophilia,cognition,positive,,medium,abstract_only_reduced_table,abstract_only,"Fatigue is a common and debilitating symptom affecting a significant proportion of individuals with Parkinson's disease (PD), often overshadowing even motor symptoms in its impact on quality of life. The accurate definition and assessment of mental fatigue in PD is crucial for both clinical management and research, ...",no,systematic_review,systematic_review
doi:10.1016/j.smrv.2025.102161,10.1016/j.smrv.2025.102161,The effects of daylight saving time and clock time transitions on sleep and sleepiness: a systematic review.,2025,Sleep medicine reviews,light,0,daylight,sleep,unknown,,low,abstract_only_reduced_table,abstract_only,"Daylight Saving Time (DST) has been a subject of debate concerning its impact on human health, particularly sleep patterns and daytime sleepiness. This systematic review aims to synthesize existing research on the effects of DST on sleep quality, duration, and sleepiness, identifying gaps, and setting a future resea...",no,systematic_review,systematic_review
