paper_id,doi,title,year,venue,topic_bucket,citation_count,environment_variable,outcome_variable,effect_direction,sample_n,confidence_tier,evidence_level,notes,abstract_snippet,pdf_available,article_type,template_family
doi:10.3992/jgb.18.2.191,10.3992/jgb.18.2.191,DAYLIGHTING PERFORMANCE OF HIGH SCHOOL LEARNING ENVIRONMENT IN TROPICS,2023,"Journal of Green Building, College Publishing, USA",light,0,daylight,productivity,mixed,,medium,abstract_only_reduced_table,abstract_only,"The quality of the indoor environment, including the lighting conditions, is crucial in classrooms as it directly affects students’ learning performance and productivity. Natural light is the best light source for visual comfort, aesthetics, and energy efficiency. Malaysia is in a tropical region and has abundant da...",no,unknown,ethnographic
doi:10.3390/educsci14101118,10.3390/educsci14101118,Building Resilience during Compassion Fatigue: Autoethnographic Accounts of College Students and Faculty,2024,Education sciences,restoration,0,unspecified_environment,stress,positive,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"Compassion fatigue (CF) is a well-researched topic in the fields of mental health and nursing. However, studies on CF in the fields of primary, secondary, and higher education are very recent and scant. Compassion fatigue (CF) can be defined as the empathic strain or general exhaustion experienced by helping profess...",no,qualitative,ethnographic
doi:10.61620/tfa.66,10.61620/tfa.66,‘May He/She Rest in Lights’: Reflection on Wishes in Funerary Folklore,2025,Türk Folklor Araştırmaları,light,0,daylight,cognition,unknown,,low,abstract_only_reduced_table,abstract_only,"In Turkish-Islamic culture, it is customary to convey blessings to the deceased, reflecting a broader spiritual framework that links death, memory, and the afterlife. One frequently employed expression is the phrase: “May he/she rest in light.” This notion, which draws on theological imagery rooted in Surah An-Nur o...",no,qualitative,ethnographic
doi:10.1117/12.2519694,10.1117/12.2519694,Validation of digital surface models (DSMs) retrieved from unmanned aerial vehicle (UAV) point clouds using geometrical information from shadows,2019,Defense + Commercial Sensing,cognition,0,unspecified_environment,attention,unknown,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"Theoretically, the appearance of shadows in aerial imagery is not desirable for researchers because it leads to errors in object classification and bias in the calculation of indices. In contrast, shadows contain useful geometrical information about the objects blocking the light. Several studies have focused on est...",no,unknown,ethnographic
doi:10.1111/etho.12414,10.1111/etho.12414,In the shadows of gratitude: On mooded spaces of vulnerability and care,2023,Ethos,cognition,0,unspecified_environment,attention,unknown,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"Abstract Gratitude is a ubiquitous phenomenon in everyday social interactions, yet it has received relatively little attention within anthropology. Past approaches to gratitude have focused on its practical expressions within exchange relationships. In contrast, this article considers the phenomenology of gratitude ...",no,qualitative,ethnographic
doi:10.1371/journal.pone.0336594,10.1371/journal.pone.0336594,An integrated risk assessment model for indoor air quality impacts on museum exhibits and human health using microclimatic indices and AgNPs treatment.,2025,PloS one,air,0,air_quality,cognition,mixed,,medium,abstract_only_reduced_table,abstract_only,"The quality of indoor air in museums directly influences the conservation of exhibits made of organic materials, but also the health of visitors, employees and restorers. Thus, monitoring the microclimate and identifying non-invasive solutions to limit its impact becomes essential for the protection of movable cultu...",no,qualitative,ethnographic
doi:10.3390/ijerph16234648,10.3390/ijerph16234648,Listening to Japanese Gardens: An Autoethnographic Study on the Soundscape Action Design Tool.,2019,International journal of environmental research and public health,acoustic,0,noise,attention,positive,,medium,abstract_only_reduced_table,abstract_only,"Landscape architecture and urban design disciplines could benefit from soundscape thinking in order to enhance experiential qualities in their projects, though the available tools are not yet fully developed nor tested. The present research aims to substantiate one of the available tools, Soundscape Actions, and the...",no,qualitative,ethnographic
doi:10.3389/fcomp.2023.1154737,10.3389/fcomp.2023.1154737,"Atmosphere, mood, and scientific explanation",2023,Frontiers in Computer Science,affect,0,noise,mood,unknown,,low,abstract_only_reduced_table,abstract_only,"In this article, I consider how scientific theories may explain architectural atmosphere. Architects use atmosphere to refer to a holistic, emergent property of a space that partly determines the mood of inhabitants. It is said to be a “subtle, intangible, ambient quality of a place” that also significantly shapes t...",no,qualitative,ethnographic
doi:10.1109/I3DA65421.2025.11202117,10.1109/I3DA65421.2025.11202117,Ambisonic Virtual Acoustics Playback Toolkit,2025,2025 Immersive and 3D Audio: from Architecture to Automotive (I3DA),acoustic,0,noise,unspecified_outcome,unknown,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"We present the Ambisonic Virtual Acoustics Playback Toolkit, an open-source framework for curating virtual reality scenes to support musicological and archeological studies that examine the effects of room acoustics. This toolkit utilizes Chunreal, the ChucK music programming language in Unreal Engine, and Spatial A...",no,unknown,ethnographic
doi:10.5406/25784773.7.1.03,10.5406/25784773.7.1.03,“Jazz Steel”: The Vibrancy of Rooms and the Acoustics of Genre at Jazz at Lincoln Center,2024,Jazz &amp; Culture,acoustic,0,noise,productivity,unknown,,low,abstract_only_reduced_table,abstract_only,"This article ethnographically analyzes the unique acoustic properties of Rose Theater, a lavish 1,300-seat concert hall at Jazz at Lincoln Center (JALC) in New York City, arguing that the room itself is both a vibrant participant in live performance and a humanly shaped artifact through which musical genre is contes...",no,qualitative,ethnographic
