paper_id,doi,title,year,venue,topic_bucket,citation_count,environment_variable,outcome_variable,effect_direction,sample_n,confidence_tier,evidence_level,notes,abstract_snippet,pdf_available,article_type,template_family
doi:10.1080/00038628.2016.1266597,10.1080/00038628.2016.1266597,Affective response to architecture – investigating human reaction to spaces with different geometry,2017,-,affect,0,unspecified_environment,mood,unknown,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"The shape of a room affects mental reactions and emotional states, as evidenced by a multidisciplinary study using qualitative and quantitative methods, including questionnaires and advanced sensors, which showed differences in reactions to different geometries.",no,cross_sectional_survey,mixed_methods
doi:10.1080/00038628.2021.1940827,10.1080/00038628.2021.1940827,A neurocognitive study of the emotional impact of geometrical criteria of architectural space,2021,-,cognition,0,unspecified_environment,attention,unknown,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"The paper presents a new approach to examining the connection between human emotions and architectural space, focusing on the aspect of geometry. It examines how emotional reactions to geometrical manipulations within architectural space can be empirically measured and quantified. By using physiological sensors, suc...",yes,unknown,mixed_methods
doi:10.1109/TIP.2025.3607611,10.1109/TIP.2025.3607611,Perceptually-Guided VR Style Transfer.,2025,IEEE transactions on image processing : a publication of the IEEE Signal Processing Society,affect,0,unspecified_environment,mood,positive,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"Virtual reality (VR) makes it possible to provide immersive multimedia content composed of omnidirectional videos (ODVs). Towards enabling more immersive and satisfying VR content, methods are needed to manipulate VR scenes, taking into account perceptual factors related to viewers' quality of experience (QoE). For ...",no,theoretical_conceptual,mixed_methods
doi:10.52547/ioh.18.1.63,10.52547/ioh.18.1.63,The Relationship between Cognitive-Attention Syndrome and Occupational Stress of Workers Exposed to Occupational Accidents,2021,Iran Occupational Health Journal,thermal,0,daylight,productivity,mixed,,medium,abstract_only_reduced_table,abstract_only,Background and aims: Lighting directly and indirectly affects employees' mental health and their performance. Good lighting is required for good visibility of the environment and should provide a luminous environment that is human-friendly and appropriate for the visual task performed. Optimal lighting is one of the...,no,rct_interventional,mixed_methods
doi:10.1108/yc-04-2023-1728,10.1108/yc-04-2023-1728,A mixed study on the “wow” of impulse purchase on Instagram: insights from Gen-Z in a collectivistic environment,2023,Young Consumers,light,0,daylight,attention,positive,,medium,abstract_only_reduced_table,abstract_only,"Purpose
Generation Z (Gen-Z), sometimes known as “digital natives”, represents the first generation to become immersed in digital communication. In a multicultural environment, this study aims to explore which types of factors are most beneficial in connection with Gen-Z’s impulsive purchase behaviour.


Design/meth...",no,qualitative,mixed_methods
doi:10.52547/ioh.18.1.89,10.52547/ioh.18.1.89,SOCIAL NETWORK ANALYSIS APPROACH TO ANALYSIS OF EMERGENCY MANAGEMENT TEAM PERFORMANCE,2021,Iran Occupational Health Journal,thermal,0,daylight,productivity,mixed,,medium,abstract_only_reduced_table,abstract_only,Background and aims: Lighting directly and indirectly affects employees' mental health and their performance.Good lighting is required for good visibility of the environment and should provide a luminous environment that is human-friendly and appropriate for the visual task performed.Optimal lighting is one of the m...,no,rct_interventional,mixed_methods
doi:10.52547/ioh.18.1.1,10.52547/ioh.18.1.1,Optimization and sound absorption modeling in Yucca Gloriosa natural fiber composite,2021,Iran Occupational Health Journal,thermal,0,daylight,productivity,mixed,,medium,abstract_only_reduced_table,abstract_only,Background and aims: Lighting directly and indirectly affects employees' mental health and their performance.Good lighting is required for good visibility of the environment and should provide a luminous environment that is human-friendly and appropriate for the visual task performed.Optimal lighting is one of the m...,no,rct_interventional,mixed_methods
doi:10.52547/ioh.18.1.334,10.52547/ioh.18.1.334,The change of interns’ life style after shift work: a cohort study,2021,Iran Occupational Health Journal,thermal,0,daylight,productivity,mixed,,medium,abstract_only_reduced_table,abstract_only,Background and aims: Lighting directly and indirectly affects employees' mental health and their performance.Good lighting is required for good visibility of the environment and should provide a luminous environment that is human-friendly and appropriate for the visual task performed.Optimal lighting is one of the m...,no,rct_interventional,mixed_methods
doi:10.3846/cs.2025.16335,10.3846/cs.2025.16335,Effects of technology-enhanced active learning on the musical creativity of gifted students,2025,Creativity Studies,other,0,unspecified_environment,unspecified_outcome,positive,19,low,abstract_only_reduced_table,abstract_only;n=19;weak_variable_resolution,Technology-enhanced active learning increases not only gifted students’ interest in learning but also facilitates the promotion of their musical creativity. This study uncovers gifted students’ attitude toward technology-enhanced active learning and its effect on their musical creativity. This mixed-methods study us...,no,rct_interventional,mixed_methods
doi:10.1177/1937586719851271,10.1177/1937586719851271,The Perceptions of Nurses About the Behavioral Needs for Daylighting and View to the Outside in Inpatient Facilities,2020,HERD,light,0,daylight,sleep,positive,,medium,abstract_only_reduced_table,abstract_only,"Objectives: This research aims to explore the perceptions of nursing staff regarding the effects of daylighting on behavioral factors including mood, stress, satisfaction, medical error, and efficiency. Background: In spite of an extensive body of literature seeking to investigate the impact of daylighting on patien...",no,cross_sectional_survey,mixed_methods
