paper_id,doi,title,year,venue,topic_bucket,citation_count,environment_variable,outcome_variable,effect_direction,sample_n,confidence_tier,evidence_level,notes,abstract_snippet,pdf_available,article_type,template_family
doi:10.1093/mnras/stw641,10.1093/mnras/stw641,The Dark Energy Survey: more than dark energy – an overview,2016,Monthly Notices of the Royal Astronomical Society,cognition,0,unspecified_environment,attention,unknown,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"This overview paper describes the legacy prospect and discovery potential of the Dark Energy Survey (DES) beyond cosmological studies, illustrating it with examples from the DES early data. DES is using a wide-field camera (DECam) on the 4 m Blanco Telescope in Chile to image 5000 sq deg of the sky in five filters (...",no,narrative_review,narrative_review
doi:10.1051/0004-6361/201527101,10.1051/0004-6361/201527101,<i>Planck</i>2015 results,2016,Astronomy and Astrophysics,thermal,0,thermal,productivity,unknown,,low,abstract_only_reduced_table,abstract_only,"The European Space Agency???s Planck satellite, which is dedicated to studying the early Universe and its subsequent evolution, was launched on 14 May 2009. It scanned the microwave and submillimetre sky continuously between 12 August 2009 and 23 October 2013. In February 2015, ESA and the Planck Collaboration relea...",no,narrative_review,narrative_review
doi:10.3389/fpsyg.2023.1143618,10.3389/fpsyg.2023.1143618,The effects of mental fatigue on sport-specific motor performance among team sport athletes: A systematic scoping review,2023,Frontiers in Psychology,cognition,0,unspecified_environment,cognition,mixed,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"Background The psychobiological state known as mental fatigue (MF) is by engaging in mentally taxing activities for an extended period, which is typically found in team sports, of the high cognitive demand and unpredictable environment. It increases the perception of effort and influences executive functions, impair...",no,narrative_review,narrative_review
doi:10.1016/j.pathophys.2012.04.009,10.1016/j.pathophys.2012.04.009,Global electromagnetic toxicity and frequency-induced diseases: Theory and short overview,2012,Pathophysiology,affect,0,unspecified_environment,stress,unknown,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"The development and implementation of electricity in the modern society have facilitated the survival of mankind in the present, modern ages. However, the health consequences of introducing electricity into the society are poorly studied. Studies of artificial light and non-ionizing radiation are generally low prior...",no,narrative_review,narrative_review
doi:10.1002/adma.201200867,10.1002/adma.201200867,Hydrogen Peroxide Vapor Sensing with Organic Core/Sheath Nanowire Optical Waveguides,2012,Advanced Materials,thermal,0,thermal,attention,mixed,3,medium,abstract_only_reduced_table,abstract_only;n=3,"By decorating single crystal organic nanowires with H2O2-reactive peroxalate ester, a core/sheath structure for the rapid and selective detection of H2O2 vapors is demonstrated via the optical waveguide of a single wire. Such a compact sensing configuration may act as the ""nano-alarm-lamp"" for the H2O2 vapors and be...",no,narrative_review,narrative_review
doi:10.3389/fpubh.2023.1073259,10.3389/fpubh.2023.1073259,An overview of Iran's actions in response to the COVID-19 pandemic and in building health system resilience,2023,Frontiers in Public Health,light,0,daylight,unspecified_outcome,unknown,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"This article is part of the Research Topic ‘Health Systems Recovery in the Context of COVID-19 and Protracted Conflict'. The considerable human, social, and economic impacts of COVID-19 have demonstrated a global lack of health system resilience, highlighting gaps in health system capacities due to fragmented approa...",no,narrative_review,narrative_review
doi:10.3389/fpsyg.2022.805796,10.3389/fpsyg.2022.805796,Evaluation of Daylight Perception Assessment Methods.,2022,Frontiers in psychology,affect,0,daylight,mood,unknown,,low,abstract_only_reduced_table,abstract_only,"Daylight is an important component in maintaining human health and wellbeing and plays a key role in physiological, psychological, and behavioural regulation. Understanding the complexity of daylight perception is vital since the degree of satisfaction with daylight conditions could greatly impact individual mood, b...",no,narrative_review,narrative_review
doi:10.1111/aphw.12019,10.1111/aphw.12019,Salutogenic effects of the environment: review of health protective effects of nature and daylight.,2014,Applied psychology. Health and well-being,affect,0,daylight,stress,unknown,,low,abstract_only_reduced_table,abstract_only,"Both nature and daylight have been found to positively influence health. These findings were, however, found in two separate research domains. This paper presents an overview of effects found for daylight and nature on health and the health-related concepts stress, mood, and executive functioning and self-regulation...",no,narrative_review,narrative_review
doi:10.3390/su11072003,10.3390/su11072003,"Do Energy Conservation Strategies Limit the Freedom of Architecture Design? A Case Study of Minsheng Community, Taipei, Taiwan",2019,Sustainability,light,0,daylight,productivity,negative,,medium,abstract_only_reduced_table,abstract_only,"The residential sector is one of the largest energy-consuming sectors in Taiwan. Taiwan applies building codes and appliance standards to reduce the total energy demand for buildings, especially for façade design. Some research studies demonstrate that design decisions regarding the envelope shape have a direct effe...",no,narrative_review,narrative_review
doi:10.1123/ijspp.2023-0527,10.1123/ijspp.2023-0527,Mental Fatigue in Sport-From Impaired Performance to Increased Injury Risk.,2024,International Journal of Sports Physiology and Performance,cognition,0,unspecified_environment,cognition,positive,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"The literature describing the effects of mental fatigue (MF) has grown tremendously. This is accompanied by identification of a host of performance-determining parameters affected by MF. MF results from prolonged cognitive effort and predominantly affects physical, technical, tactical, and perceptual-cognitive dimen...",no,narrative_review,narrative_review
doi:10.1177/1477153519869758,10.1177/1477153519869758,Daylight: What makes the difference?,2019,Lighting Research & Technology,light,0,daylight,productivity,positive,,medium,abstract_only_reduced_table,abstract_only,"Light is necessary for vision; it enables us to sense and perceive our surroundings and in many direct and indirect ways, via eye and skin, affects our physiological and psychological health. The use of light in built environments has comfort, behavioural, economic and environmental consequences. Daylight has many p...",no,narrative_review,narrative_review
doi:10.1016/j.enbuild.2020.110381,10.1016/j.enbuild.2020.110381,Review of technological design options for building integrated photovoltaics (BIPV),2020,Energy and Buildings,spatial,0,spatial_layout,unspecified_outcome,unknown,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"This paper reviews and analyzes technological design options, which have become available to date for BIPV systems on roofs and facades, independently of specific products or building projects. This means that this survey does not analyze existing products or realized buildings, but provides an overview of the techn...",no,narrative_review,narrative_review
doi:10.1109/access.2020.2983149,10.1109/access.2020.2983149,A Survey of Autonomous Driving: <i>Common Practices and Emerging Technologies</i>,2020,IEEE Access,thermal,0,unspecified_environment,unspecified_outcome,positive,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"Automated driving systems (ADSs) promise a safe, comfortable and efficient\ndriving experience. However, fatalities involving vehicles equipped with ADSs\nare on the rise. The full potential of ADSs cannot be realized unless the\nrobustness of state-of-the-art improved further. This paper discusses unsolved\nproblem...",no,narrative_review,narrative_review
doi:10.3390/s130100393,10.3390/s130100393,The Role of Advanced Sensing in Smart Cities,2012,Sensors,biophilic,0,biophilia,unspecified_outcome,positive,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"In a world where resources are scarce and urban areas consume the vast majority of these resources, it is vital to make cities greener and more sustainable. Advanced systems to improve and automate processes within a city will play a leading role in smart cities. From smart design of buildings, which capture rain wa...",no,narrative_review,narrative_review
doi:10.1002/adfm.201907126,10.1002/adfm.201907126,Small Molecules in Light‐Emitting Electrochemical Cells: Promising Light‐Emitting Materials,2019,Advanced Functional Materials,light,0,daylight,attention,unknown,,low,abstract_only_reduced_table,abstract_only,"Abstract Light‐emitting electrochemical cells (LECs) are solid‐state lighting devices that convert electric current to light within electroluminescent organic semiconductors, and these devices have recently attracted significant attention. Introduced in 1995, LECs are considered a great breakthrough in the field of ...",no,narrative_review,narrative_review
doi:10.3390/electronics14132602,10.3390/electronics14132602,An Overview of State-of-the-Art Research on Smart Building Systems,2025,Electronics,thermal,0,thermal,unspecified_outcome,negative,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"Smart buildings require an energy management system that can meet inhabitants’ demands with a reduced amount of energy consumed by the heating ventilation and air-conditioning system (HVAC), as well as the lighting and shading systems. This work provides a detailed review of available methods proposed in the literat...",no,narrative_review,narrative_review
doi:10.5860/choice.34-0322,10.5860/choice.34-0322,Electrical power systems quality,1996,Choice Reviews Online,air,0,air_quality,productivity,unknown,,low,abstract_only_reduced_table,abstract_only,CHAPTER 1: INTRODUCTION What is Power Quality? Power Quality -- Voltage Quality Why Are We Concerned About Power Quality? The Power Quality Evaluation Procedure Who Should Use This Book Overview of the Contents CHAPTER 2: TERMS AND DEFINITIONS Need for a Consistent Vocabulary General Classes of Power Quality Problem...,no,narrative_review,narrative_review
doi:10.3390/bios15100672,10.3390/bios15100672,Actomyosin-Based Nanodevices for Sensing and Actuation: Bridging Biology and Bioengineering.,2025,Biosensors,light,0,daylight,mood,unknown,,low,abstract_only_reduced_table,abstract_only,"The actomyosin complex-nature's dynamic engine composed of actin filaments and myosin motors-is emerging as a versatile tool for bio-integrated nanotechnology. This review explores the growing potential of actomyosin-powered systems in biosensing and actuation applications, highlighting their compatibility with phys...",no,narrative_review,narrative_review
doi:10.3390/en13020494,10.3390/en13020494,Internet of Things (IoT) and the Energy Sector,2020,Energies,other,0,unspecified_environment,productivity,unknown,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"Integration of renewable energy and optimization of energy use are key enablers of sustainable energy transitions and mitigating climate change. Modern technologies such the Internet of Things (IoT) offer a wide number of applications in the energy sector, i.e, in energy supply, transmission and distribution, and de...",no,narrative_review,narrative_review
doi:10.1093/geront/gnx205,10.1093/geront/gnx205,Aging and Demographic Transition in Ghana: State of the Elderly and Emerging Issues,2017,The Gerontologist,cognition,0,unspecified_environment,attention,positive,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"Although the population of Ghana is young and generally youthful, there is evidence of rapid increases in the size of the elderly cohort. Although demographic projections estimate that the proportion of the population younger than 15 years will experience continuous decline overtime due in part to decline in fertili...",no,narrative_review,narrative_review
doi:10.1002/app.21481,10.1002/app.21481,Electrospinning of nanofibers,2005,Journal of Applied Polymer Science,other,0,unspecified_environment,unspecified_outcome,positive,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,Abstract Nanotechnology is the study and development of materials at nano levels. It is one of the rapidly growing scientific disciplines due to its enormous potential in creating novel materials that have advanced applications. This technology has tremendously impacted many different science and engineering discipl...,no,narrative_review,narrative_review
doi:10.1186/s13638-019-1438-9,10.1186/s13638-019-1438-9,Smart radio environments empowered by reconfigurable AI meta-surfaces: an idea whose time has come,2019,EURASIP Journal on Wireless Communications and Networking,cognition,0,unspecified_environment,attention,unknown,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"Future wireless networks are expected to constitute a distributed intelligent wireless communications, sensing, and computing platform, which will have the challenging requirement of interconnecting the physical and digital worlds in a seamless and sustainable manner. Currently, two main factors prevent wireless net...",no,narrative_review,narrative_review
doi:10.1109/access.2019.2935192,10.1109/access.2019.2935192,Wireless Communications Through Reconfigurable Intelligent Surfaces,2019,IEEE Access,other,0,unspecified_environment,productivity,unknown,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"The future of mobile communications looks exciting with the potential new use cases and challenging requirements of future 6th generation (6G) and beyond wireless networks. Since the beginning of the modern era of wireless communications, the propagation medium has been perceived as a randomly behaving entity betwee...",no,narrative_review,narrative_review
doi:10.7480/ABE.19.10.4104,10.7480/ABE.19.10.4104,Passive cooling techniques,2019,Architecture and the Built Environment,thermal,0,thermal,productivity,unknown,,low,abstract_only_reduced_table,abstract_only,"Vernacular buildings are local buildings that have evolved overtime in one location to suit the local climate, culture and economy (Meir & Roaf, 2003). The construction of vernacular buildings uses locally available resources to address local needs. These kinds of structures evolve over time to reflect the environme...",no,narrative_review,narrative_review
doi:10.3390/s90100568,10.3390/s90100568,"State-of-The-Art and Applications of 3D Imaging Sensors in Industry, Cultural Heritage, Medicine, and Criminal Investigation",2009,Sensors,other,0,unspecified_environment,unspecified_outcome,unknown,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"3D imaging sensors for the acquisition of three dimensional (3D) shapes have created, in recent years, a considerable degree of interest for a number of applications. The miniaturization and integration of the optical and electronic components used to build them have played a crucial role in the achievement of compa...",no,narrative_review,narrative_review
doi:10.1215/22011919-3527695,10.1215/22011919-3527695,Multispecies Studies,2016,Environmental Humanities,biophilic,0,biophilia,attention,unknown,,low,abstract_only_reduced_table,abstract_only,"Scholars in the humanities and social sciences are experimenting with novel ways of engaging with worlds around us. Passionate immersion in the lives of fungi, microorganisms, animals, and plants is opening up new understandings, relationships, and accountabilities. This introduction to the special issue offers an o...",no,narrative_review,narrative_review
doi:10.3389/fchem.2025.1615725,10.3389/fchem.2025.1615725,Modelling and simulation of electrochemical processing of solid polyolefin wastes by non-thermal plasma treatment: a mini-review.,2025,Frontiers in chemistry,cognition,0,thermal,attention,positive,,medium,abstract_only_reduced_table,abstract_only,Creating accurate models to explain the reaction mechanisms in thermochemical processing of solid polyolefins and their derivatives using non-thermal plasma (NTP) technology is crucial for improving recycling and reuse efforts. This area has gained significant attention over the past few decades. The model for polyo...,no,narrative_review,narrative_review
doi:10.3390/ma18163803,10.3390/ma18163803,The Role of Natural Fibers in the Building Industry-The Perspective of Sustainable Development.,2025,"Materials (Basel, Switzerland)",thermal,0,thermal,attention,negative,,medium,abstract_only_reduced_table,abstract_only,"Contemporary construction faces the need to reduce its negative impact on the environment, prompting designers, investors, and contractors to seek more sustainable materials and technologies. One area of dynamic development is the use of natural fibers as an alternative to conventional, often synthetic, building com...",no,narrative_review,narrative_review
doi:10.1186/s40580-025-00500-6,10.1186/s40580-025-00500-6,Low-dimensional metal chalcogenides for wearable gas sensing.,2025,Nano convergence,thermal,0,thermal,attention,unknown,,low,abstract_only_reduced_table,abstract_only,"Real-time monitoring of the surrounding gas environment, including our inhaled and exhaled atmosphere, is a crucial but underdeveloped technology for personalized healthcare. Recent advancements in wearable sensing technologies and AI algorithms promise the realization of more powerful wearable gas sensing systems, ...",no,narrative_review,narrative_review
doi:10.1080/0144341042000228834,10.1080/0144341042000228834,"Learning Styles: An overview of theories, models, and measures",2004,Educational Psychology,air,0,air_quality,unspecified_outcome,unknown,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"Although its origins have been traced back much further, research in the area of learning style has been active for--at a conservative estimate--around four decades. During that period the intensity of activity has varied, with recent years seeing a particularly marked upturn in the number of researchers working in ...",no,narrative_review,narrative_review
doi:10.1007/s40279-025-02354-8,10.1007/s40279-025-02354-8,The Use of Golf Carts as On-Course Transportation During Competitive Golf Events: A Scoping Review.,2025,"Sports medicine (Auckland, N.Z.)",other,0,unspecified_environment,unspecified_outcome,unknown,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"Golf is enjoyed by over 108 million people globally, and has established elite female, male and disability competitive schedules. The use of golf carts during elite competition is a topic of discussion regarding the principles of inclusivity and competitive fairness with important scientific, legal and ethical consi...",no,narrative_review,narrative_review
doi:10.1007/s40820-022-00895-5,10.1007/s40820-022-00895-5,Multifunctional Flexible Humidity Sensor Systems Towards Noncontact Wearable Electronics,2022,Nano-Micro Letters,thermal,0,thermal,attention,positive,,medium,abstract_only_reduced_table,abstract_only,"Abstract In the past decade, the global industry and research attentions on intelligent skin-like electronics have boosted their applications in diverse fields including human healthcare, Internet of Things, human–machine interfaces, artificial intelligence and soft robotics. Among them, flexible humidity sensors pl...",no,narrative_review,narrative_review
doi:10.18287/2412-6179-co-1355,10.18287/2412-6179-co-1355,"Overview of modern technologies for measuring, predicting and correcting turbulent distortions in optical waves",2024,Computer optics,cognition,0,unspecified_environment,attention,unknown,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,This work is an analytical review of the components of modern technology for creating adaptive optics systems for correcting the distortion of optical waves propagating in a turbulent atmosphere. The work consists of the following parts: description of a technique for measuring fluctuations of optical waves in an at...,no,narrative_review,narrative_review
doi:10.1093/sleep/zsad316,10.1093/sleep/zsad316,Awake at the wheel: how auto technology innovations present ongoing sleep challenges and new safety opportunities.,2024,Sleep,light,0,unspecified_environment,sleep,mixed,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"Individuals and society are dependent on transportation. Individuals move about their world for work, school, healthcare, social activities, religious and athletic events, and so much more. Society requires the movement of goods, food, medicine, etc. for basic needs, commerce, cultural and political exchanges, and a...",no,narrative_review,narrative_review
doi:10.1007/s10462-022-10286-2,10.1007/s10462-022-10286-2,"AI-big data analytics for building automation and management systems: a survey, actual challenges and future perspectives",2022,Artificial Intelligence Review,air,0,air_quality,productivity,positive,,medium,abstract_only_reduced_table,abstract_only,"Abstract In theory, building automation and management systems (BAMSs) can provide all the components and functionalities required for analyzing and operating buildings. However, in reality, these systems can only ensure the control of heating ventilation and air conditioning system systems. Therefore, many other ta...",no,narrative_review,narrative_review
doi:10.1007/s40279-025-02286-3,10.1007/s40279-025-02286-3,Current Practices for Mental Fatigue Quantification and Induction in Movement Science: Introducing the SPeCIFY Guidelines,2025,Sports Medicine,light,0,daylight,cognition,unknown,,low,abstract_only_reduced_table,abstract_only,"Mental fatigue (MF) is a complex phenomenon with significant implications for human performance, for which there are numerous studies investigating the effects of MF. Nevertheless, there is considerable variability in the approaches used to induce and quantify MF, making it hard to compare findings across studies an...",no,narrative_review,narrative_review
doi:10.1121/10.0013706,10.1121/10.0013706,Telehealth solutions for assessing auditory outcomes related to noise and ototoxic exposures in clinic and research.,2022,The Journal of the Acoustical Society of America,acoustic,0,noise,unspecified_outcome,unknown,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"Nearly 1.5 billion people globally have some decline in hearing ability throughout their lifetime. Many causes for hearing loss are preventable, such as that from exposure to noise and chemicals. According to the World Health Organization, nearly 50% of individuals 12-25 years old are at risk of hearing loss due to ...",no,narrative_review,narrative_review
doi:10.17586/2226-1494-2025-25-5-961-970,10.17586/2226-1494-2025-25-5-961-970,Development and research of a reinforcement learning method for acoustic diagnostics of industrial equipment,2025,"Scientific and Technical Journal of Information Technologies, Mechanics and Optics",acoustic,0,noise,unspecified_outcome,mixed,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"The actual problem of acoustic diagnostics of autonomously operating industrial equipment is investigated. An overview of existing approaches to acoustic diagnostics, including methods based on convolutional neural networks and learning algorithms with a teacher, is provided. Their limitations have been identified, ...",no,narrative_review,narrative_review
