paper_id,doi,title,year,venue,topic_bucket,citation_count,environment_variable,outcome_variable,effect_direction,sample_n,confidence_tier,evidence_level,notes,abstract_snippet,pdf_available,article_type,template_family
doi:10.1016/j.dib.2025.112211,10.1016/j.dib.2025.112211,Annotated drowsiness detection dataset captured using Raspberry Pi 5.,2025,Data in brief,light,0,daylight,attention,unknown,,low,abstract_only_reduced_table,abstract_only,"Drowsiness-related accidents represent a critical safety concern in transportation and workplace environments, necessitating real-time monitoring solutions deployable on affordable hardware. This paper introduces the Annotated Drowsiness Detection Dataset, which uniquely combines edge computing optimization with var...",no,methods_protocol,phenomenological
doi:10.1103/sl4k-pcvq,10.1103/sl4k-pcvq,Optically Induced Magnetic Inertia and Magnons from Non-Markovian Extension of the Landau-Lifshitz-Gilbert Equation.,2025,Physical review letters,thermal,0,thermal,cognition,unknown,,low,abstract_only_reduced_table,abstract_only,"The Landau-Lifshitz-Gilbert (LLG) equation has been the cornerstone of modeling the dynamics of localized spins, viewed as classical vectors of fixed length, within nonequilibrium magnets. When light is employed as the nonequilibrium drive, the LLG equation must be supplemented with additional terms that are usually...",no,qualitative,phenomenological
doi:10.1016/j.concog.2025.103974,10.1016/j.concog.2025.103974,Comparing the characteristics of hallucinations and mental imagery: a large cross-sectional study in the general population.,2026,Consciousness and cognition,cognition,0,unspecified_environment,stress,positive,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"Hallucinations (HAs), the perceptual experiences that occur without external stimuli, are classically associated with psychiatric disorders, but also occur in the general population. Involuntary mental imagery (IMI), the spontaneous occurrence of visual or auditory mental content, shares several features with HAs. T...",no,cross_sectional_survey,phenomenological
doi:10.3390/sym18010036,10.3390/sym18010036,"Murakamian Ombre: Non-Semisimple Topology, Cayley Cubics, and the Foundations of a Conscious AGI",2025,Symmetry,cognition,0,unspecified_environment,stress,unknown,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"Haruki Murakami’s Hard-Boiled Wonderland and the End of the World portrays a world where the “shadow”, the seat of memory, desire, and volition, is surgically removed, leaving behind a perfectly fluent but phenomenologically empty self. We argue that this literary structure mirrors a precise mathematical distinction...",no,qualitative,phenomenological
doi:10.37284/eajass.6.1.1176,10.37284/eajass.6.1.1176,"‘Foundations of Still-Life Painting’ – Colour Application, Textural Effects and Development of Holistic Composition. Analysis of Selected Still-Life Paintings by Second Year Students at Kenyatta University, Nairobi, Kenya",2023,East African Journal of Arts and Social Sciences,biophilic,0,daylight,attention,positive,,medium,abstract_only_reduced_table,abstract_only,Still-life painting as a formative painting unit is important in enabling students to interact with elements of art in the arrangement of specific static objects that form a precise composition. This arrangement of objects in composition is essential in helping students to comprehend the concept of composition in cr...,no,unknown,phenomenological
doi:10.1162/afar_r_00607,10.1162/afar_r_00607,Modernist Art in Ethiopia,2021,African Arts,air,0,air_quality,mood,unknown,,low,abstract_only_reduced_table,abstract_only,"African modernism has been the subject of numerous key publications in the last two decades. Besides surveys such as A Companion to Modern African Art edited by Gitti Salami and Monica Blackmun Visonà (2013), leading journals published special issues such as “Art Historical Perspectives on African Modernism” (Africa...",no,cross_sectional_survey,phenomenological
sha256:834df4d1fcd5,,"Ay\'{o}n-Beato-Garc\'{i}a black hole in AdS space-time surrounded by quintessence: geodesic, shadow and thermodynamics",2025,,thermal,0,thermal,attention,unknown,,low,abstract_only_reduced_table,abstract_only,"In this study, we present a novel exact solution to the gravitational field equations, known as the Ay\'on-Beato-Garc\'ia black hole solution, set against the backdrop of anti-de Sitter space and surrounded by a quintessence field. This solution serves as an interpolation between three distinct anti-de Sitter black ...",no,unknown,phenomenological
doi:10.1103/revmodphys.47.331,10.1103/revmodphys.47.331,"A theoretical description of the new phases of liquid<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mrow><mml:mmultiscripts><mml:mrow><mml:mi mathvariant=""normal"">He</mml:mi></mml:mrow><mml:mprescripts/><mml:mrow/><mml:mrow><mml:mn>3</mml:mn></mml:mrow><mml:mrow/><mml:mrow/></mml:mmultiscripts></mml:mrow></mml:math>",1975,Reviews of Modern Physics,thermal,0,thermal,attention,unknown,,low,abstract_only_reduced_table,abstract_only,This paper reviews the theory of anisotropic superfluid phases and its application to the new A and B phases of liquid $^{3}\mathrm{He}$. It is tutorial in nature and advanced formal techniques are avoided; even the formalism of second quantization is not required. After an initial discussion of the Fermi-liquid the...,no,qualitative,phenomenological
doi:10.5194/amt-12-3453-2019,10.5194/amt-12-3453-2019,Measurements of delays of gas-phase compounds in a wide variety of tubing materials due to gas–wall interactions,2019,Atmospheric measurement techniques,thermal,0,thermal,attention,mixed,,medium,abstract_only_reduced_table,abstract_only,"Abstract. Losses of gas-phase compounds or delays on their transfer through tubing are important for atmospheric measurements and also provide a method to characterize and quantify gas–surface interactions. Here we expand recent results by comparing different types of Teflon and other polymer tubing, as well as glas...",no,qualitative,phenomenological
sha256:3833b82e856c,,Cultural Environmentalism and the Constructed Commons,2007,Law and Contemporary Problems,air,0,air_quality,stress,unknown,,low,abstract_only_reduced_table,abstract_only,I INTRODUCTION The public domain is to the world of innovation and creativity what the environment is to the physical world. Concern with the public's ability to build upon a body of intellectual works that are freely available as raw material for new generations of creativity and innovation echoes environmentalists...,no,unknown,phenomenological
doi:10.5040/9781501312199,10.5040/9781501312199,The Political Possibility of Sound,2018,The Political Possibility of Sound,acoustic,0,noise,unspecified_outcome,unknown,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"The essay is the perfect format for a crisis. Its porous and contingent nature forgives a lack of formality, while its neglect of perfection and virtuosity releases the potential for the incomplete and the unrealizable. These seven essays on The Political Possibility of Sound present a perfectly incomplete form for ...",no,qualitative,phenomenological
