paper_id,doi,title,year,venue,topic_bucket,citation_count,priority_score,reasons,url
doi:10.1121/10.0042190,10.1121/10.0042190,"Effects of low-level electric vehicle noise on attention, electrodermal activity, workload, and annoyance.",2026,The Journal of the Acoustical Society of America,acoustic,0,9.000,on_topic;content_signal_ok;venue_allowlist,
doi:10.1121/10.0042193,10.1121/10.0042193,Multi-stage representation learning for blind Room-Acoustic parameter estimation with uncertainty quantification.,2026,The Journal of the Acoustical Society of America,acoustic,0,9.000,on_topic;content_signal_ok;venue_allowlist,
doi:10.1038/s44341-025-00031-5,10.1038/s44341-025-00031-5,A large-scale balloon model of confluent cells validates stress inference from geometry.,2026,npj biological physics and mechanics,acoustic,0,9.000,on_topic;content_signal_ok,
doi:10.3390/atmos16020150,10.3390/atmos16020150,The Influence of Multisensory Perception on Student Outdoor Comfort in University Campus Design,2025,Atmosphere,acoustic,0,8.750,on_topic;content_signal_ok,
doi:10.1038/s41598-025-31488-y,10.1038/s41598-025-31488-y,SARCDNet-an enhanced deep learning network for change detection from bi-temporal SAR images.,2025,Scientific reports,acoustic,0,8.750,on_topic;content_signal_ok;venue_allowlist,
doi:10.3389/fpsyg.2025.1512851,10.3389/fpsyg.2025.1512851,Exploring cross-modal perception in a virtual classroom: the effect of visual stimuli on auditory selective attention.,2025,Frontiers in psychology,acoustic,0,8.750,on_topic;content_signal_ok;venue_allowlist,
doi:10.1121/10.0039864,10.1121/10.0039864,Exploring auditory selective attention shifts in virtual reality: An approach with matrix sentences.,2025,The Journal of the Acoustical Society of America,acoustic,0,8.750,on_topic;content_signal_ok;venue_allowlist,
doi:10.1080/20551940.2025.2460847,10.1080/20551940.2025.2460847,Ambiance and acoustic heritage: sonic memory of the Grenoble school of architecture,2025,Sound Studies,acoustic,0,8.750,on_topic;content_signal_ok,
doi:10.1016/j.foodres.2025.118202,10.1016/j.foodres.2025.118202,Neuro-sensory evaluation of citrus flavors: A hierarchical spatial fusion approach for emotion-driven food innovation.,2026,"Food research international (Ottawa, Ont.)",affect,0,9.000,on_topic;content_signal_ok,
doi:10.3389/fmed.2025.1481209,10.3389/fmed.2025.1481209,Myopia and daylight-A combination of factors.,2025,Frontiers in medicine,affect,0,8.750,on_topic;content_signal_ok,
doi:10.1111/inm.70207,10.1111/inm.70207,"Violence Directed at Healthcare Staff by Children and Adolescents Treated in In‐Patient Psychiatric Wards: Emotional Labor, PTSD Symptoms, and Physical and Mental Fatigue",2025,International Journal of Mental Health Nursing,affect,0,8.750,on_topic;content_signal_ok,
doi:10.1016/j.actpsy.2025.105875,10.1016/j.actpsy.2025.105875,Dental students' visual scene preferences for stress mitigation in clinics: A descriptive study.,2025,Acta psychologica,affect,0,8.750,on_topic;content_signal_ok,
doi:10.1002/col.70005,10.1002/col.70005,"Effects of Ambient and Display Lighting Color on Risk‐Taking Behavior, Perceived Emotional States, and Visual Quality of Indoor Environment",2025,Color Research &amp; Application,affect,0,8.750,on_topic;content_signal_ok,
doi:10.3390/architecture5030066,10.3390/architecture5030066,Reflective Facades’ Impacts on Visual Perception and Psychological Responses,2025,Architecture,affect,0,8.750,on_topic;content_signal_ok,
doi:10.65205/acj.2025.9101,10.65205/acj.2025.9101,"Form, Atmosphere, Rhythm : A Qualitative Semiotic Study into Spiritual and Affective Experiences of Non-Figurative Light-and-Shadow Installations",2025,วารสารศิลปะและวัฒนธรรมลุ่มแม่น้ำมูล,affect,0,8.750,on_topic;content_signal_ok,
doi:10.30564/fls.v7i12.9455,10.30564/fls.v7i12.9455,Psychological Barriers and Growth Mindset in Foreign Language Learning,2025,Forum for Linguistic Studies,affect,0,8.750,on_topic;content_signal_ok,
doi:10.1186/s12877-025-06963-w,10.1186/s12877-025-06963-w,"Household fuel use, social engagement, and cognitive decline in older Chinese adults: a prospective cohort study based on CHARLS.",2026,BMC geriatrics,air,0,9.000,on_topic;content_signal_ok,
