variable,category,source_count,sample_sources
ACC_activation,UNCLASSIFIED,1,DP2:causal
AI_salience_signal_high,PSYCH_COG,1,T68:causal
AI_salience_signal_low_moderate,PSYCH_COG,1,T68:causal
CA1_mismatch_detection,UNCLASSIFIED,1,E1:causal
CA3_pattern_completion,UNCLASSIFIED,1,E2:causal
CCI_boundary_values,UNCLASSIFIED,1,VF1:param
CCI_boundary_values.angular,UNCLASSIFIED,1,VF1:paramsub
CCI_boundary_values.angular_mixed,UNCLASSIFIED,1,VF1:paramsub
CCI_boundary_values.extreme,UNCLASSIFIED,1,VF1:paramsub
CCI_boundary_values.moderate_optimal,UNCLASSIFIED,1,VF1:paramsub
CCI_boundary_values.smooth,UNCLASSIFIED,1,VF1:paramsub
CCI_boundary_values.source,UNCLASSIFIED,1,VF1:paramsub
CCI_boundary_values.uniform,UNCLASSIFIED,1,VF1:paramsub
CCI_boundary_values.warrant,UNCLASSIFIED,1,VF1:paramsub
CREA2B_creativity_bonus,UNCLASSIFIED,1,VF3:param
CREA2B_creativity_bonus.computation,UNCLASSIFIED,1,VF3:paramsub
CREA2B_creativity_bonus.d_divergent_thinking_liberating_R_h,UNCLASSIFIED,1,VF3:paramsub
CREA2B_creativity_bonus.source,UNCLASSIFIED,1,VF3:paramsub
CREA2B_divergent_thinking,UNCLASSIFIED,1,VF3:mech
CTRA_activation,UNCLASSIFIED,1,NM_SOCIAL_ISOLATION_ALLOSTATIC_001:mech
CT_affective_comfort,PSYCH_COG,1,MAT4:causal
CT_afferent_firing_rate,UNCLASSIFIED,1,MAT1:causal
DG_pattern_separation,UNCLASSIFIED,1,E2:causal
DMN_ECN_cooperative_state,UNCLASSIFIED,1,T54:causal
DMN_TPN_state,UNCLASSIFIED,1,DT1:causal
DMN_maintenance_or_coactivation,UNCLASSIFIED,1,T68:causal
LSF_PFC_activation_latency,UNCLASSIFIED,1,T22:param
LSF_PFC_activation_latency.CI_95,UNCLASSIFIED,1,T22:paramsub
LSF_PFC_activation_latency.central_value,UNCLASSIFIED,1,T22:paramsub
LSF_PFC_activation_latency.source,UNCLASSIFIED,1,T22:paramsub
LSF_PFC_activation_latency.warrant,UNCLASSIFIED,1,T22:paramsub
LSF_spatial_frequency_threshold,ENV_ARCH,1,T22:param
LSF_spatial_frequency_threshold.central_value,ENV_ARCH,1,T22:paramsub
LSF_spatial_frequency_threshold.source,ENV_ARCH,1,T22:paramsub
LSF_spatial_frequency_threshold.warrant,ENV_ARCH,1,T22:paramsub
OT_triggering_social_behaviors,BEHAV_OUTCOME,1,NM_OXYTOCIN_SOCIAL_003:mech
PFC_activation,UNCLASSIFIED,1,T22:mech
PTSD,UNCLASSIFIED,1,PRIVACY_GRADIENT_REGULATION_001:population_modifiers
R_h_as_primary_LSF_driver,UNCLASSIFIED,1,T22:architectural_modifier_coefficients
R_h_goldilocks,UNCLASSIFIED,1,VF3:param
R_h_goldilocks.balanced,UNCLASSIFIED,1,VF3:paramsub
R_h_goldilocks.confining,UNCLASSIFIED,1,VF3:paramsub
R_h_goldilocks.impressive,UNCLASSIFIED,1,VF3:paramsub
R_h_goldilocks.liberating,UNCLASSIFIED,1,VF3:paramsub
R_h_goldilocks.overwhelming,UNCLASSIFIED,1,VF3:paramsub
R_h_goldilocks.source,UNCLASSIFIED,1,VF3:paramsub
R_h_goldilocks.warrant,UNCLASSIFIED,1,VF3:paramsub
SCI_scaling_coherence,UNCLASSIFIED,1,VF2:param
SCI_scaling_coherence.depleted,UNCLASSIFIED,1,VF2:paramsub
SCI_scaling_coherence.empirical_basis,UNCLASSIFIED,1,VF2:paramsub
SCI_scaling_coherence.good,UNCLASSIFIED,1,VF2:paramsub
SCI_scaling_coherence.partial,UNCLASSIFIED,1,VF2:paramsub
SCI_scaling_coherence.rich,UNCLASSIFIED,1,VF2:paramsub
SCI_scaling_coherence.sparse,UNCLASSIFIED,1,VF2:paramsub
SCI_scaling_coherence.warrant,UNCLASSIFIED,1,VF2:paramsub
SRV_goldilocks_zone,UNCLASSIFIED,1,VF2:param
SRV_goldilocks_zone.declining,UNCLASSIFIED,1,VF2:paramsub
SRV_goldilocks_zone.irregular,UNCLASSIFIED,1,VF2:paramsub
SRV_goldilocks_zone.peak_estimated,UNCLASSIFIED,1,VF2:paramsub
SRV_goldilocks_zone.perfectly_regular,UNCLASSIFIED,1,VF2:paramsub
SRV_goldilocks_zone.slightly_varied,ENV_ARCH,1,VF2:paramsub
SRV_goldilocks_zone.source,UNCLASSIFIED,1,VF2:paramsub
SRV_goldilocks_zone.warrant,UNCLASSIFIED,1,VF2:paramsub
V1_V2_prediction_error_signal,PSYCH_COG,1,L1:mech
V1_efficient_coding_response,UNCLASSIFIED,1,T1:mech
VR_presentation,UNCLASSIFIED,1,AX12:causal
VTA_activation,UNCLASSIFIED,1,NM2:causal
VTA_dopamine_release,UNCLASSIFIED,1,T17:causal
abrupt_mechanical_sounds,UNCLASSIFIED,1,T58:causal
