status_xy,status,path,tracked,added_date,fs_birth_or_mtime
 M,unstaged,ACTIVE_TASKS.md,yes,2026-02-08,2026-03-02 11:49:57
 M,unstaged,CLAUDE.md,yes,2026-01-18,2026-03-02 11:16:58
 M,unstaged,COORDINATION.md,yes,2026-03-01,2026-03-01 13:21:23
 M,unstaged,TASKS.md,yes,2026-02-08,2026-03-03 00:32:52
 M,unstaged,app/main.py,yes,2026-01-18,2026-03-02 17:20:07
 M,unstaged,app/routes/integration.py,yes,2026-02-11,2026-03-02 13:23:43
 M,unstaged,contracts/WRITING_STYLE_GUIDE.md,yes,2026-03-02,2026-03-02 23:18:01
 M,unstaged,pytest.ini,yes,2026-02-12,2026-02-17 00:23:13
 M,unstaged,schemas/theory/tier1_5_domain_theories.json,yes,2026-03-02,2026-03-01 16:53:10
 M,unstaged,scripts/bulk_integrate_extractions.py,yes,2026-03-01,2026-03-02 12:36:26
 M,unstaged,scripts/compute_system_health.py,yes,2026-02-23,2026-03-02 12:05:50
 M,unstaged,scripts/load_staging_links.py,yes,2026-02-17,2026-03-02 12:36:40
 M,unstaged,scripts/load_tranche80_theory_links.py,yes,2026-02-17,2026-03-02 12:04:04
 M,unstaged,scripts/offline_pipeline_smoke.py,yes,2026-01-18,2026-03-02 13:24:43
 M,unstaged,scripts/overseer_nightly_v3.py,yes,2026-03-01,2026-03-02 13:47:49
 M,unstaged,scripts/persist_finding_annotations.py,yes,2026-03-01,2026-03-02 12:04:23
 M,unstaged,scripts/probe_finding_template_relevance_health.py,yes,2026-02-23,2026-03-02 12:04:36
 M,unstaged,scripts/run_finding_template_relevance.py,yes,2026-02-23,2026-03-02 12:04:46
 M,unstaged,scripts/run_finding_template_relevance_streaming.py,yes,2026-03-01,2026-03-02 12:04:55
 M,unstaged,scripts/scheduled_pipeline.py,yes,2026-03-01,2026-03-02 13:47:36
 M,unstaged,scripts/smart_quantitative_backfill.py,yes,2026-03-02,2026-03-02 10:57:51
 M,unstaged,scripts/v3_surgical_update.py,yes,2026-03-01,2026-03-02 14:45:20
 M,unstaged,src/agents/agent_stubs.py,yes,2026-01-18,2026-03-02 13:25:01
 M,unstaged,src/cmr/building_eval.py,yes,2026-02-17,2026-02-23 01:10:45
 M,unstaged,src/contracts/schemas.py,yes,2026-01-18,2026-03-02 13:24:07
 M,unstaged,src/services/arbitrary_qa_handler.py,yes,2026-03-01,2026-03-02 23:44:15
 M,unstaged,src/services/grounded_expert_agent.py,yes,2026-02-17,2026-02-23 01:10:45
 M,unstaged,src/services/iv_dv_classifier.py,yes,2026-03-02,2026-03-02 06:32:58
 M,unstaged,src/services/paper_integration/orchestrator.py,yes,2026-03-01,2026-03-02 13:48:10
 M,unstaged,src/services/paper_integration/tag_engine.py,yes,2026-03-01,2026-02-25 00:39:58
 M,unstaged,src/services/report_generator.py,yes,2026-02-09,2026-03-02 12:14:25
 M,unstaged,src/services/t3_interp_bridge.py,yes,2026-03-02,2026-03-02 07:40:53
 M,unstaged,src/services/web_persistence.py,yes,2026-01-19,2026-02-23 01:10:45
 M,unstaged,tests/conftest.py,yes,2026-02-23,2026-03-02 12:18:17
 M,unstaged,tests/test_data_population.py,yes,2026-03-01,2026-03-02 12:15:01
 M,unstaged,tests/test_gap_predictor.py,yes,2026-02-11,2026-03-02 12:11:45
 M,unstaged,tests/test_int_pipeline.py,yes,2026-02-11,2026-03-02 12:13:48
 M,unstaged,tests/test_iv_dv_classifier.py,yes,2026-03-02,2026-03-02 06:44:51
 M,unstaged,tests/test_pipeline_registry.py,yes,2026-03-01,2026-03-02 12:12:37
 M,unstaged,tests/test_research_opportunity_registry.py,yes,2026-02-17,2026-03-02 12:16:55
 M,unstaged,tests/test_research_queue_automated_searcher.py,yes,2026-02-17,2026-03-02 12:18:26
 M,unstaged,tests/test_research_queue_collectors.py,yes,2026-02-17,2026-03-02 12:18:35
 M,unstaged,tests/test_research_queue_dashboard.py,yes,2026-02-17,2026-03-02 12:18:43
 M,unstaged,tests/test_research_queue_zotero_sync.py,yes,2026-02-17,2026-03-02 12:18:50
 M,unstaged,tests/test_scalable_coherence_benchmark.py,yes,2026-02-08,2026-02-08 09:48:36
 M,unstaged,tests/test_template_theory_dependencies.py,yes,2026-02-17,2026-03-02 12:15:39
 M,unstaged,tests/test_voi_integration.py,yes,2026-02-17,2026-03-02 12:25:27
 M,unstaged,tests/test_web_accumulator.py,yes,2026-02-11,2026-03-02 12:16:23
 M,unstaged,tests/test_web_of_belief.py,yes,2026-02-17,2026-02-17 09:47:50
 M,unstaged,tests/test_web_of_belief_invariants.py,yes,2026-02-23,2026-02-19 02:22:50
